text,count
bird,5
one,4
art,3
pay,3
tourism,3
new,2
main,2
state,2
sea,2
light,2
long,2
debate,2
please,2
news,2
notice,2
way,2
week,2
photo,2
plastic,1
rock,1
silver,1
short,1
service,1
safe,1
run,1
primary,1
rather,1
press,1
poor,1
people,1
size,1
play,1
per,1
sing,1
ally,1
space,1
sport,1
world,1
white,1
weather,1
visible,1
upper,1
trust,1
tree,1
travel,1
transfer,1
tour,1
tomorrow,1
throw,1
throat,1
think,1
thing,1
thank,1
territory,1
target,1
take,1
system,1
sure,1
street,1
minor,1
station,1
may,1
mine,1
cycle,1
female,1
feed,1
fee,1
farm,1
fan,1
fall,1
extract,1
exhibition,1
energy,1
deep,1
day,1
court,1
focus,1
control,1
coffee,1
code,1
city,1
chicken,1
cake,1
bright,1
breast,1
bit,1
bank,1
back,1
financial,1
foreign,1
might,1
library,1
middle,1
appeal,1
many,1
manager,1
man,1
male,1
major,1
mainly,1
machine,1
low,1
look,1
letter,1
form,1
let,1
lay,1
know,1
kind,1
island,1
huge,1
hi,1
help,1
good,1
gallery,1
free,1
would,1
