text,count
coast,56
guard,52
line,41
police,40
new,35
star,31
sea,30
boat,25
ocean,25
water,23
taxi,21
lady,20
cat,20
city,20
harbor,19
island,19
express,19
army,16
miss,14
river,14
ship,14
blue,13
big,13
spirit,13
sun,13
golden,13
one,12
club,12
service,11
point,11
king,10
may,10
world,10
state,10
port,10
cup,10
century,9
rescue,9
car,9
many,9
man,9
red,9
time,9
pride,9
team,9
north,9
white,9
wind,9
fish,8
pilot,8
collection,8
use,7
silver,7
south,7
sky,7
beach,7
wave,7
land,7
seat,7
race,7
old,6
per,6
hi,6
first,6
national,6
full,6
adventure,6
shop,6
museum,6
speed,6
know,6
master,6
get,6
would,6
love,6
welcome,6
save,6
bottom,6
mark,5
grand,5
life,5
stone,5
shell,5
fast,5
make,5
fly,5
take,5
say,5
moon,5
high,5
cook,5
southern,5
tax,5
sail,5
win,5
youth,5
bill,5
pay,5
van,5
work,5
board,5
ad,5
venture,5
house,4
start,4
far,4
sport,4
park,4
picture,4
cover,4
show,4
also,4
bank,4
vital,4
ban,4
top,4
way,4
general,4
boot,4
hotel,4
call,4
sell,4
leader,4
length,4
let,4
look,4
long,4
black,4
little,4
dream,4
energy,4
safety,4
home,4
cap,4
uncle,4
gun,4
aid,4
group,4
go,4
green,4
castle,4
capital,4
wing,4
rock,4
ill,4
transportation,4
please,4
allow,4
gold,4
run,4
circle,4
imagine,3
strip,3
article,3
gate,3
international,3
food,3
free,3
fresh,3
freedom,3
join,3
engine,3
horse,3
sound,3
stop,3
beer,3
place,3
wet,3
bar,3
back,3
field,3
serve,3
bear,3
key,3
ice,3
stand,3
hour,3
wonder,3
wild,3
last,3
steel,3
end,3
anger,3
bike,3
produce,3
county,3
hear,3
count,3
cost,3
town,3
god,3
contact,3
good,3
shore,3
royal,3
great,3
east,3
concern,3
room,3
research,3
music,3
vessel,3
center,3
yellow,3
never,3
class,3
challenge,3
brown,3
year,3
boy,3
sand,3
ease,3
ear,3
seal,3
west,3
live,3
past,3
party,3
loss,3
small,3
book,3
tell,3
lover,3
power,3
dark,3
thing,3
mad,3
magic,3
mail,3
crew,3
independence,3
pot,2
hospital,2
hire,2
hope,2
hell,2
ride,2
independent,2
round,2
overseas,2
output,2
middle,2
