text,count
book,75
new,71
world,38
man,34
art,33
make,32
edition,31
last,27
life,25
would,23
extra,22
guide,21
east,21
fiction,20
time,20
home,19
science,19
big,19
work,18
good,18
love,18
street,18
press,17
one,17
library,17
history,17
great,17
house,17
see,16
south,16
may,16
state,15
news,15
war,15
hand,15
know,14
law,14
design,14
read,14
business,13
cat,13
kiss,13
way,13
national,13
order,13
complete,12
set,12
fire,12
story,12
get,12
mind,12
use,12
reference,12
review,12
go,11
web,11
park,11
black,11
like,11
dark,11
long,11
city,11
season,11
social,11
food,11
age,11
dead,11
mark,10
lot,10
game,10
little,10
king,10
true,10
code,10
child,10
bill,10
second,10
heart,10
show,10
author,10
live,9
sex,9
cow,9
white,9
look,9
literature,9
win,9
brown,9
journal,9
run,9
need,8
empire,8
museum,8
play,8
god,8
top,8
health,8
power,8
rock,8
let,8
first,8
club,8
picture,8
wind,8
system,8
college,8
land,8
hi,8
country,8
old,8
century,7
question,7
sale,7
revolution,7
sun,7
wild,7
theory,7
color,7
family,7
community,7
music,7
son,7
car,7
stop,7
essential,7
hope,7
volume,7
take,7
cake,7
travel,6
free,6
philosophy,6
royal,6
low,6
come,6
civil,6
modern,6
brand,6
sea,6
never,6
light,6
file,6
language,6
abuse,6
style,6
support,6
grade,6
think,6
far,6
action,6
back,6
girl,6
case,6
short,6
pro,6
mass,6
people,6
bell,6
day,6
name,6
place,6
town,6
future,6
battle,6
miss,6
perfect,6
wood,6
kind,6
cook,6
adventure,6
motion,5
none,5
curious,5
start,5
crime,5
pop,5
next,5
sand,5
reader,5
bike,5
hard,5
row,5
could,5
head,5
also,5
class,5
practice,5
word,5
medicine,5
personal,5
bar,5
earth,5
special,5
success,5
talk,5
boy,5
guy,5
original,5
drink,5
poetry,5
boot,5
many,5
away,5
reason,5
middle,5
shop,5
star,5
idea,5
say,5
digital,5
sound,5
technical,5
office,5
want,5
knowledge,5
information,5
dog,5
chocolate,5
everyday,4
end,4
everything,4
management,4
imagine,4
darkness,4
evolution,4
enterprise,4
hell,4
slow,4
year,4
eat,4
data,4
public,4
loss,4
thank,4
secret,4
society,4
snow,4
medical,4
thing,4
log,4
display,4
local,4
green,4
large,4
classical,4
novel,4
collection,4
object,4
right,4
form,4
ask,4
official,4
stand,4
staff,4
classic,4
inside,4
available,4
open,4
brain,4
change,4
keep,4
species,4
beautiful,4
religion,4
red,4
wall,4
per,4
visual,4
island,4
capital,4
forest,4
river,4
cool,4
culture,4
group,4
source,4
murder,4
tour,4
series,4
server,4
road,4
bed,4
pink,4
trail,4
nature,4
space,4
truth,4
architecture,4
happy,4
control,4
intelligence,4
peace,4
shock,3
lover,3
sure,3
grant,3
interpretation,3
global,3
grand,3
soon,3
international,3
side,3
summer,3
giant,3
legal,3
stone,3
feed,3
flat,3
flight,3
list,3
fast,3
service,3
security,3
steel,3
index,3
sell,3
hall,3
fun,3
garden,3
journey,3
small,3
gene,3
job,3
freedom,3
host,3
mystery,3
check,3
chicken,3
clear,3
oil,3
universe,3
rich,3
bank,3
nuclear,3
pocket,3
ball,3
night,3
computer,3
conflict,3
really,3
room,3
assessment,3
reality,3
port,3
nation,3
count,3
winter,3
crash,3
urban,3
magazine,3
creative,3
origin,3
weather,3
body,3
blue,3
well,3
bridge,3
call,3
care,3
vision,3
bit,3
bind,3
part,3
video,3
parallel,3
via,3
west,3
paper,3
beyond,3
cent,3
planet,3
become,3
van,3
crazy,3
box,3
much,3
adult,3
death,3
easy,3
quick,3
aid,3
project,3
deep,3
mouse,3
development,3
technology,3
diet,3
dust,3
tennis,3
mathematics,3
teach,3
print,3
meat,3
dear,3
tea,3
ancient,3
young,3
anyone,3
mountain,3
animal,3
main,3
together,3
tale,3
date,3
put,3
without,3
effective,3
woman,3
monitor,3
economy,3
database,3
professional,2
ski,2
promise,2
plan,2
singer,2
hunger,2
image,2
post,2
piano,2
shout,2
sick,2
radio,2
point,2
identity,2
interior,2
radical,2
plus,2
pleasure,2
prime,2
plate,2
plant,2
mad,2
operation,2
physical,2
mode,2
letter,2
self,2
mount,2
hot,2
safe,2
moon,2
money,2
selection,2
seem,2
listen,2
mobile,2
senior,2
sample,2
mine,2
lock,2
metal,2
mental,2
school,2
master,2
seal,2
mail,2
magic,2
less,2
must,2
register,2
pack,2
release,2
iron,2
issue,2
past,2
passage,2
shelf,2
rescue,2
research,2
rest,2
sharp,2
shake,2
natural,2
online,2
rice,2
number,2
nowhere,2
north,2
network,2
net,2
late,2
rough,2
naturally,2
mother,2
follow,2
skin,2
current,2
cross,2
critical,2
tool,2
cover,2
counter,2
cost,2
correct,2
track,2
copy,2
trap,2
tree,2
contemporary,2
contact,2
trick,2
trip,2
complexity,2
complex,2
try,2
company,2
turn,2
command,2
cry,2
sky,2
ugly,2
today,2
equal,2
enhance,2
education,2
editor,2
edge,2
eastern,2
ear,2
duty,2
drug,2
double,2
door,2
tell,2
dig,2
die,2
test,2
thin,2
delight,2
defense,2
dance,2
dad,2
cycle,2
type,2
coast,2
estate,2
believe,2
whole,2
bear,2
beach,2
basic,2
wide,2
band,2
bad,2
baby,2
association,2
arrange,2
around,2
wing,2
apart,2
answer,2
wise,2
ally,2
air,2
worth,2
administration,2
add,2
youth,2
behavior,2
blind,2
university,2
welcome,2
unknown,2
unusual,2
church,2
choice,2
chip,2
chase,2
charity,2
character,2
venture,2
cell,2
catch,2
view,2
violence,2
carry,2
bury,2
brother,2
water,2
break,2
boom,2
bone,2
weird,2
escape,2
custom,2
survival,2
strong,2
speed,2
found,2
standard,2
station,2
step,2
fix,2
still,2
stock,2
financial,2
finance,2
storm,2
film,2
fill,2
festival,2
strange,2
gear,2
gender,2
general,2
guilty,2
hill,2
high,2
soft,2
help,2
hear,2
happiness,2
song,2
give,2
soul,2
southern,2
golden,2
gold,2
goal,2
glass,2
favorite,2
spring,2
proof,2
student,2
extension,2
exchange,2
supplement,2
eye,2
fair,2
stuff,2
every,2
explanation,2
farm,2
solution,1
scream,1
yes,1
week,1
refuse,1
screen,1
protection,1
shoot,1
wrong,1
western,1
sort,1
shore,1
tape,1
tap,1
something,1
solve,1
shift,1
shelter,1
warn,1
remember,1
report,1
speak,1
repeat,1
size,1
scientist,1
rent,1
voice,1
warm,1
vote,1
walk,1
remain,1
summary,1
secondary,1
religious,1
tall,1
wife,1
pull,1
race,1
tail,1
rain,1
wish,1
yellow,1
wonderful,1
prove,1
sweet,1
soldier,1
worry,1
sir,1
smart,1
sister,1
pub,1
write,1
raise,1
random,1
protein,1
sing,1
rat,1
search,1
ratio,1
software,1
wine,1
window,1
