text,count
form,3
chicken,3
baby,3
ice,3
cream,3
red,2
go,2
man,2
drink,2
god,2
run,2
credit,2
hat,2
beer,2
key,2
bread,2
new,1
music,1
people,1
medicine,1
museum,1
open,1
night,1
natural,1
online,1
never,1
one,1
old,1
please,1
ally,1
reserve,1
pop,1
process,1
win,1
waste,1
use,1
turn,1
think,1
take,1
study,1
street,1
story,1
stock,1
stay,1
star,1
south,1
simply,1
root,1
religion,1
read,1
may,1
home,1
live,1
economic,1
day,1
criminal,1
create,1
counter,1
concert,1
company,1
coffee,1
cheese,1
card,1
campaign,1
cake,1
business,1
bill,1
big,1
angry,1
dream,1
electric,1
kitchen,1
enjoy,1
information,1
hot,1
among,1
historian,1
hill,1
health,1
gray,1
grant,1
governor,1
good,1
free,1
film,1
favor,1
factory,1
extent,1
would,1
