text,count
happy,83
day,10
star,6
something,5
many,5
cake,5
state,4
birth,4
hill,4
new,4
law,3
son,3
library,3
one,3
concern,3
class,3
chocolate,3
go,3
little,3
welcome,3
would,3
work,2
guess,2
ever,2
team,2
say,2
know,2
wild,2
retirement,2
good,2
baby,2
win,2
police,2
special,2
design,2
house,2
source,2
army,2
sorry,2
hi,2
thank,2
poor,2
blue,2
book,2
box,2
also,2
long,2
boy,2
want,2
fire,2
world,2
luck,2
royal,2
net,2
morning,2
name,2
way,2
recognition,1
program,1
quote,1
pull,1
project,1
public,1
property,1
war,1
past,1
pool,1
opportunity,1
must,1
national,1
news,1
old,1
open,1
opera,1
original,1
plain,1
pack,1
wood,1
park,1
party,1
pay,1
people,1
research,1
run,1
revenue,1
string,1
support,1
technology,1
thing,1
think,1
time,1
total,1
tradition,1
turn,1
unclear,1
weight,1
web,1
university,1
use,1
user,1
valley,1
van,1
versus,1
via,1
vision,1
sun,1
street,1
rich,1
stranger,1
right,1
river,1
road,1
route,1
science,1
security,1
see,1
ship,1
since,1
social,1
solution,1
mind,1
wide,1
sound,1
south,1
white,1
station,1
stop,1
well,1
miss,1
achieve,1
menu,1
club,1
coffee,1
collection,1
command,1
communicate,1
community,1
competition,1
contact,1
content,1
cool,1
could,1
counsel,1
create,1
data,1
dead,1
deal,1
dear,1
decade,1
desert,1
die,1
difference,1
dinner,1
code,1
chip,1
discussion,1
celebrate,1
air,1
alive,1
answer,1
application,1
art,1
assess,1
association,1
award,1
bad,1
base,1
bet,1
bird,1
bit,1
blow,1
bright,1
brother,1
build,1
buy,1
car,1
care,1
case,1
dirty,1
easy,1
may,1
government,1
help,1
improve,1
increase,1
information,1
island,1
justice,1
kill,1
land,1
learn,1
like,1
list,1
admit,1
live,1
local,1
look,1
loss,1
love,1
lunch,1
mail,1
make,1
market,1
guy,1
glass,1
edition,1
girl,1
effect,1
elect,1
else,1
entry,1
envelope,1
environmental,1
equal,1
everyone,1
family,1
fear,1
feel,1
fellow,1
fish,1
food,1
fresh,1
friendship,1
fun,1
gap,1
gas,1
gene,1
get,1
youth,1
