text,count
radio,5
play,5
volume,4
counter,3
power,3
read,3
natural,3
mode,3
metal,3
may,3
frequency,3
noise,3
adjust,3
cancel,2
charm,2
rear,2
reduction,2
music,2
scan,2
moon,2
sound,2
wave,2
type,2
station,2
medium,2
stop,2
man,2
master,2
level,2
control,2
tape,2
load,2
store,1
remote,1
track,1
would,1
wood,1
real,1
town,1
recall,1
tone,1
run,1
strange,1
win,1
protest,1
system,1
search,1
signal,1
studio,1
use,1
ad,1
print,1
player,1
ban,1
bank,1
bin,1
book,1
command,1
corporation,1
dog,1
equipment,1
fast,1
fiction,1
fight,1
filter,1
function,1
input,1
left,1
mechanism,1
memory,1
model,1
money,1
monitor,1
mount,1
add,1
normal,1
one,1
pause,1
phone,1
pink,1
write,1
