text,count
eye,72
tender,10
pool,7
cat,7
meal,5
get,4
fresh,4
one,4
many,4
poor,4
priority,3
may,3
every,3
box,3
see,3
bill,3
state,3
would,3
last,2
man,2
make,2
stop,2
main,2
sure,2
good,2
like,2
food,2
site,2
mountain,2
top,2
complete,2
time,2
say,2
also,2
win,2
away,2
photo,2
please,2
keep,2
bell,2
book,2
hard,2
use,2
post,2
care,2
news,2
try,2
new,2
classic,2
little,2
rescue,1
rest,1
save,1
run,1
remember,1
able,1
rate,1
quietly,1
put,1
public,1
protect,1
property,1
section,1
pressure,1
pop,1
plus,1
phone,1
perfect,1
pro,1
soft,1
series,1
vote,1
tea,1
tell,1
terrorist,1
thing,1
true,1
tube,1
type,1
want,1
surface,1
watch,1
water,1
way,1
welcome,1
well,1
wild,1
wood,1
taste,1
sun,1
shall,1
people,1
sign,1
silence,1
silver,1
single,1
sister,1
sit,1
smell,1
somewhere,1
summer,1
sound,1
special,1
spot,1
steal,1
still,1
stock,1
store,1
per,1
moderate,1
original,1
early,1
cost,1
could,1
course,1
cup,1
current,1
drop,1
due,1
efficiency,1
forest,1
empire,1
even,1
far,1
find,1
fire,1
first,1
flood,1
cool,1
clock,1
clear,1
circle,1
age,1
ago,1
anything,1
association,1
bad,1
ban,1
beautiful,1
beauty,1
bit,1
brand,1
brother,1
business,1
buy,1
center,1
chicken,1
floor,1
fun,1
organic,1
much,1
look,1
lover,1
lucky,1
mark,1
matter,1
mirror,1
afraid,1
next,1
garden,1
night,1
none,1
number,1
odd,1
offer,1
open,1
order,1
long,1
listen,1
life,1
level,1
give,1
go,1
gold,1
grandmother,1
gray,1
great,1
hair,1
hear,1
heart,1
help,1
hotel,1
infection,1
journal,1
joy,1
leave,1
wrap,1
