text,count
professional,15
color,14
sanction,11
dry,11
top,7
new,7
baby,7
cream,6
go,5
green,5
look,4
club,4
body,4
take,4
eye,4
extra,3
dark,3
pro,3
day,3
net,3
cool,3
finish,3
pink,3
coat,3
per,3
pure,3
open,3
one,3
choose,3
oil,3
white,3
shadow,3
face,3
skin,3
boss,3
sport,3
wear,3
tip,3
series,3
wash,3
use,3
beauty,3
base,3
let,2
healthy,2
hair,2
heat,2
mark,2
make,2
high,2
ice,2
live,2
age,2
protect,2
pen,2
poll,2
wipe,2
wild,2
wet,2
unit,2
touch,2
sun,2
special,2
size,2
second,2
real,2
quality,2
protection,2
power,2
pot,2
portion,2
free,2
mail,2
yet,2
also,2
excess,2
desert,2
fashion,2
extreme,2
brush,2
fine,2
ear,2
call,2
bore,1
space,1
soul,1
book,1
stain,1
ski,1
buy,1
side,1
show,1
shop,1
card,1
shade,1
set,1
stick,1
care,1
save,1
sand,1
catch,1
sale,1
row,1
roll,1
ride,1
resort,1
rescue,1
regular,1
really,1
steel,1
structure,1
straight,1
strong,1
wrong,1
would,1
wish,1
wing,1
win,1
angle,1
application,1
art,1
ask,1
away,1
volume,1
via,1
ball,1
universe,1
bar,1
twice,1
trial,1
treatment,1
bell,1
big,1
tone,1
bill,1
time,1
tight,1
bit,1
system,1
sweet,1
blue,1
quick,1
cheek,1
fix,1
choice,1
large,1
may,1
effective,1
energy,1
air,1
magic,1
lovely,1
love,1
estate,1
long,1
lip,1
like,1
law,1
last,1
king,1
miss,1
keep,1
instance,1
factor,1
faith,1
family,1
hard,1
fast,1
final,1
great,1
grass,1
find,1
gently,1
forget,1
meter,1
mistake,1
city,1
design,1
flexible,1
complete,1
cooperation,1
profession,1
could,1
price,1
precise,1
crazy,1
creative,1
daily,1
point,1
plot,1
play,1
permanent,1
morning,1
perfect,1
designer,1
detail,1
party,1
paint,1
original,1
distance,1
onto,1
dog,1
double,1
dream,1
natural,1
nation,1
cloud,1
