text,count
big,4
engineer,2
laughter,2
red,2
day,2
craft,2
stuff,2
true,2
move,1
new,1
next,1
old,1
road,1
one,1
original,1
mother,1
passion,1
pay,1
per,1
man,1
review,1
rid,1
river,1
another,1
roll,1
run,1
turn,1
tour,1
top,1
tool,1
today,1
team,1
sweet,1
strong,1
string,1
state,1
son,1
snow,1
smart,1
say,1
love,1
make,1
less,1
lot,1
like,1
dig,1
designer,1
dangerous,1
curious,1
color,1
cold,1
chocolate,1
channel,1
chair,1
brown,1
break,1
book,1
blue,1
bag,1
around,1
end,1
evil,1
free,1
hope,1
army,1
justice,1
ill,1
idea,1
hot,1
hospital,1
home,1
furniture,1
hi,1
help,1
happy,1
great,1
go,1
gentleman,1
university,1
