text,count
cup,5
new,5
world,3
state,3
fresh,3
secretary,3
salt,3
online,3
medium,3
lot,2
every,2
faith,2
get,2
land,2
must,2
love,2
combine,2
since,2
small,2
social,2
store,2
could,2
add,2
club,2
award,2
raw,1
set,1
application,1
second,1
sea,1
sand,1
article,1
right,1
red,1
record,1
reach,1
protection,1
sink,1
pleasant,1
place,1
aside,1
oil,1
national,1
name,1
away,1
music,1
mood,1
apartment,1
site,1
modern,1
traffic,1
word,1
wind,1
wild,1
welcome,1
web,1
water,1
vice,1
valley,1
use,1
university,1
therefore,1
apart,1
tender,1
tell,1
technology,1
allow,1
always,1
start,1
staff,1
speed,1
soft,1
annual,1
money,1
mix,1
cook,1
event,1
film,1
festival,1
federal,1
ceremony,1
fair,1
extra,1
expert,1
executive,1
everyone,1
character,1
education,1
free,1
east,1
draw,1
diversity,1
department,1
day,1
city,1
criminal,1
cousin,1
classic,1
cool,1
first,1
camera,1
bill,1
keep,1
mail,1
bird,1
bowl,1
line,1
lift,1
letter,1
let,1
bus,1
labor,1
agenda,1
international,1
fund,1
innovation,1
ice,1
holiday,1
hill,1
heart,1
happy,1
gun,1
ground,1
grand,1
business,1
king,1
