text,count
alarm,14
mode,9
water,8
time,7
resist,6
set,5
light,5
heat,4
start,3
clock,3
stop,3
big,3
protection,2
city,2
slide,2
shock,2
hi,2
menu,2
system,2
fan,2
new,2
blind,2
delay,2
date,2
call,2
cook,2
outside,2
schedule,2
zone,2
sector,1
search,1
rest,1
small,1
scientific,1
say,1
slow,1
sun,1
source,1
space,1
yellow,1
win,1
welcome,1
wed,1
web,1
weather,1
wave,1
watch,1
use,1
tough,1
touch,1
tone,1
team,1
repeat,1
station,1
research,1
adjust,1
regular,1
rain,1
event,1
ear,1
dream,1
distance,1
display,1
development,1
design,1
data,1
control,1
concept,1
clear,1
clean,1
car,1
bank,1
back,1
finish,1
flood,1
front,1
official,1
radio,1
process,1
permanent,1
panel,1
open,1
online,1
march,1
hold,1
machine,1
low,1
love,1
level,1
inch,1
hour,1
ought,1
