text,count
would,3
world,3
period,3
challenge,2
time,2
hall,2
different,2
sun,2
owner,2
sale,2
ancient,2
opinion,1
open,1
route,1
rapid,1
proper,1
powerful,1
old,1
power,1
pour,1
play,1
plain,1
one,1
oil,1
row,1
performance,1
people,1
news,1
sea,1
scan,1
science,1
wire,1
wing,1
window,1
win,1
welcome,1
wall,1
thing,1
take,1
survey,1
sure,1
star,1
stand,1
song,1
soft,1
shore,1
seat,1
much,1
natural,1
actor,1
menu,1
adventure,1
drug,1
dig,1
cream,1
corner,1
community,1
city,1
chip,1
care,1
card,1
bus,1
bridge,1
band,1
baby,1
author,1
association,1
animal,1
also,1
agree,1
age,1
evidence,1
exhibition,1
film,1
ice,1
make,1
mad,1
low,1
love,1
look,1
league,1
late,1
importance,1
host,1
find,1
hold,1
historic,1
high,1
hi,1
hate,1
gift,1
game,1
forest,1
may,1
