text,count
dog,13
medium,6
large,6
go,6
new,5
police,5
may,4
one,4
happy,4
small,4
big,3
natural,3
get,3
fire,3
design,3
year,3
back,3
adviser,3
work,3
warm,2
association,2
day,2
department,2
say,2
sand,2
eye,2
rock,2
freedom,2
assistance,2
stay,2
great,2
animal,2
job,2
air,2
little,2
look,2
make,2
consider,2
run,2
treatment,2
sure,2
bit,2
voice,2
city,2
oil,1
without,1
onto,1
pack,1
park,1
pay,1
stop,1
player,1
point,1
town,1
win,1
together,1
post,1
protein,1
place,1
nice,1
nobody,1
mirror,1
mayor,1
medical,1
water,1
walk,1
memory,1
vote,1
mix,1
publisher,1
mom,1
nature,1
need,1
net,1
would,1
use,1
throw,1
throat,1
store,1
single,1
see,1
set,1
welcome,1
tail,1
shade,1
shoulder,1
size,1
west,1
slave,1
sugar,1
smart,1
smile,1
spring,1
stuff,1
mark,1
science,1
rather,1
ride,1
reach,1
tent,1
real,1
remove,1
reserve,1
restaurant,1
white,1
scan,1
tax,1
royal,1
war,1
talk,1
take,1
satisfaction,1
search,1
action,1
march,1
construct,1
chase,1
clean,1
clear,1
come,1
compete,1
complete,1
compute,1
confirm,1
cool,1
cat,1
copy,1
creation,1
creative,1
cross,1
cup,1
cut,1
dead,1
die,1
champion,1
carbon,1
many,1
bed,1
along,1
also,1
ancient,1
art,1
avoid,1
away,1
baby,1
bank,1
bell,1
car,1
bike,1
bill,1
bin,1
bone,1
bottom,1
break,1
brown,1
call,1
diet,1
different,1
dollar,1
last,1
hi,1
hill,1
hold,1
house,1
ill,1
keep,1
kind,1
king,1
law,1
door,1
ad,1
life,1
lift,1
like,1
link,1
loss,1
love,1
man,1
help,1
hell,1
heat,1
healthy,1
empty,1
energy,1
experiment,1
factory,1
family,1
fat,1
first,1
force,1
forget,1
form,1
found,1
friend,1
fun,1
glass,1
god,1
good,1
guilty,1
leg,1
