text,count
see,8
look,4
love,4
one,4
house,3
ice,3
dream,3
show,3
net,3
top,3
every,2
group,2
eye,2
first,2
free,2
gift,2
skirt,2
would,2
press,2
state,2
kill,2
law,2
like,2
part,2
make,2
many,2
model,2
please,2
miss,2
count,2
art,2
book,2
control,2
big,2
new,1
past,1
precisely,1
touch,1
trip,1
work,1
percent,1
turn,1
pen,1
unite,1
pay,1
use,1
wed,1
party,1
project,1
user,1
page,1
via,1
wear,1
old,1
oil,1
well,1
tone,1
proud,1
special,1
real,1
solution,1
soft,1
studio,1
smile,1
small,1
since,1
silence,1
style,1
sugar,1
sun,1
mine,1
tail,1
scare,1
say,1
talent,1
rock,1
ring,1
talk,1
return,1
rescue,1
tape,1
require,1
till,1
shift,1
afternoon,1
might,1
chicken,1
ear,1
dress,1
double,1
diet,1
dear,1
dealer,1
cool,1
construction,1
come,1
coffee,1
city,1
choice,1
chocolate,1
castle,1
eat,1
cast,1
camera,1
brain,1
boy,1
blue,1
blow,1
bill,1
bed,1
beach,1
ban,1
ask,1
also,1
air,1
ease,1
edition,1
menu,1
human,1
marry,1
mark,1
march,1
main,1
lover,1
aid,1
lose,1
little,1
literally,1
light,1
license,1
lady,1
illustration,1
hope,1
enter,1
high,1
help,1
heart,1
hair,1
gold,1
future,1
fun,1
form,1
food,1
finally,1
file,1
field,1
fashion,1
lot,1
