text,count
box,15
first,13
west,13
service,12
day,12
mail,9
card,8
address,8
new,7
word,7
post,7
revenue,6
air,6
side,6
cover,6
charge,6
labor,5
internal,5
beach,4
one,4
cost,3
far,3
issue,3
group,3
road,3
know,3
model,3
city,3
office,3
master,2
school,2
want,2
every,2
car,2
many,2
low,2
business,2
flight,2
price,2
place,2
freedom,2
private,2
process,2
rock,2
good,2
letter,2
use,2
port,2
unit,2
thank,2
motor,2
corporation,2
administration,2
still,2
part,2
stamp,2
penalty,2
mother,2
money,2
dry,2
official,2
via,1
opportunity,1
rear,1
van,1
quite,1
within,1
people,1
quality,1
put,1
orange,1
wish,1
party,1
volume,1
reflection,1
win,1
practical,1
system,1
response,1
spring,1
sir,1
small,1
soft,1
software,1
space,1
special,1
today,1
return,1
stand,1
teach,1
street,1
strip,1
strong,1
study,1
sink,1
tone,1
shape,1
set,1
number,1
series,1
see,1
say,1
save,1
run,1
route,1
roof,1
tea,1
town,1
right,1
reverse,1
truly,1
top,1
active,1
nothing,1
dear,1
chief,1
class,1
communication,1
completely,1
cope,1
dad,1
data,1
delivery,1
note,1
department,1
disk,1
domestic,1
ear,1
east,1
educational,1
emergency,1
chapter,1
cent,1
cat,1
case,1
alone,1
anyone,1
art,1
average,1
award,1
away,1
bag,1
ban,1
bank,1
bear,1
bill,1
blue,1
bring,1
brush,1
carbon,1
employer,1
end,1
even,1
let,1
line,1
little,1
lose,1
lot,1
march,1
material,1
may,1
memory,1
mix,1
mount,1
much,1
name,1
nation,1
national,1
need,1
life,1
law,1
extra,1
instruction,1
fee,1
field,1
foreign,1
form,1
front,1
game,1
garden,1
general,1
get,1
happy,1
help,1
hi,1
home,1
important,1
instance,1
youth,1
