text,count
fresh,5
plate,4
key,3
die,3
west,3
fix,3
fish,3
form,2
good,2
cook,2
physical,2
computer,2
photo,2
red,2
sand,2
pay,2
cancel,2
oil,2
project,2
use,2
natural,2
address,2
please,1
professional,1
poem,1
abroad,1
open,1
north,1
new,1
network,1
need,1
name,1
phone,1
restaurant,1
remote,1
standard,1
wage,1
version,1
totally,1
thin,1
tail,1
system,1
studio,1
state,1
species,1
report,1
society,1
silver,1
service,1
seem,1
science,1
ride,1
restore,1
measure,1
mouse,1
less,1
mayor,1
bring,1
due,1
could,1
cost,1
control,1
clean,1
class,1
channel,1
catch,1
box,1
extension,1
boat,1
big,1
bath,1
balance,1
back,1
ask,1
apply,1
air,1
eastern,1
feed,1
market,1
help,1
long,1
load,1
license,1
add,1
length,1
leg,1
left,1
king,1
grin,1
feel,1
great,1
grade,1
gold,1
giant,1
general,1
function,1
free,1
first,1
wing,1
