text,count
one,4
garden,3
little,3
add,3
use,3
show,3
class,3
love,2
flower,2
put,2
may,2
dig,2
day,2
stop,2
sun,2
please,2
coffee,2
lot,2
look,2
thank,2
must,2
hot,2
university,2
photo,1
mom,1
personal,1
perfect,1
people,1
mother,1
part,1
paper,1
name,1
none,1
across,1
pot,1
pour,1
white,1
water,1
want,1
victory,1
van,1
upon,1
together,1
team,1
talk,1
tale,1
sweet,1
still,1
standard,1
species,1
profile,1
self,1
large,1
low,1
least,1
credit,1
creature,1
concern,1
commercial,1
college,1
collection,1
code,1
brush,1
box,1
big,1
bell,1
beer,1
bank,1
ban,1
away,1
average,1
annual,1
danger,1
digital,1
dream,1
green,1
iron,1
inside,1
human,1
hill,1
hello,1
group,1
ground,1
golden,1
eat,1
god,1
form,1
food,1
fire,1
farm,1
family,1
extreme,1
wife,1
