text,count
star,41
air,18
new,9
may,5
balance,4
many,4
live,4
pump,4
file,4
factory,4
size,4
side,3
total,3
win,3
style,3
way,3
island,3
red,3
put,3
lake,3
know,3
wall,3
moon,3
boss,3
blue,3
long,2
go,2
military,2
fit,2
mine,2
simple,2
sign,2
get,2
give,2
hunt,2
good,2
ally,2
mark,2
work,2
mail,2
wing,2
sport,2
pair,2
one,2
old,2
far,2
would,2
thin,2
car,2
bill,2
chip,2
touch,2
cake,2
atmosphere,2
state,2
day,2
tennis,2
online,1
soon,1
people,1
photo,1
possible,1
press,1
top,1
word,1
nobody,1
tourist,1
tool,1
troop,1
net,1
name,1
must,1
try,1
model,1
use,1
van,1
miss,1
vary,1
public,1
quality,1
purchase,1
together,1
somebody,1
stair,1
slow,1
stand,1
since,1
support,1
sure,1
surprise,1
show,1
tank,1
team,1
shot,1
tell,1
shoe,1
send,1
see,1
second,1
say,1
royal,1
rest,1
today,1
real,1
web,1
wear,1
add,1
message,1
early,1
construction,1
cool,1
date,1
dead,1
dear,1
discount,1
disk,1
easy,1
father,1
edit,1
egg,1
else,1
ever,1
every,1
example,1
fact,1
collection,1
classic,1
child,1
chat,1
aim,1
always,1
anger,1
anything,1
art,1
band,1
bid,1
bike,1
book,1
boost,1
boot,1
box,1
business,1
call,1
capital,1
fan,1
fill,1
mass,1
local,1
land,1
last,1
laugh,1
leather,1
less,1
life,1
like,1
age,1
film,1
log,1
look,1
lot,1
luck,1
lucky,1
magic,1
march,1
king,1
kind,1
kill,1
kid,1
foot,1
force,1
free,1
front,1
glass,1
god,1
hand,1
hill,1
hire,1
idea,1
imagine,1
international,1
jacket,1
key,1
kick,1
lock,1
