text,count
may,4
bank,3
hotel,3
city,2
center,2
grand,2
peace,2
church,2
rest,2
park,2
less,2
restaurant,1
original,1
old,1
perfect,1
planet,1
news,1
please,1
public,1
rail,1
real,1
act,1
soon,1
room,1
universal,1
wind,1
white,1
wet,1
week,1
water,1
vision,1
tour,1
museum,1
throughout,1
thing,1
tell,1
sun,1
street,1
square,1
new,1
life,1
mood,1
discover,1
article,1
back,1
box,1
broad,1
bus,1
cake,1
come,1
complex,1
core,1
counter,1
culture,1
day,1
depression,1
drive,1
mode,1
earth,1
egg,1
face,1
foundation,1
gallery,1
garden,1
gas,1
group,1
harbor,1
inside,1
keep,1
let,1
action,1
would,1
