text,count
new,11
college,10
university,9
war,9
one,8
hotel,8
use,8
ad,7
state,7
album,7
would,7
king,7
service,6
big,6
man,6
may,6
hand,6
park,6
good,6
way,6
army,5
free,5
world,5
brain,5
city,5
work,5
policy,5
law,5
many,5
save,5
hi,5
museum,5
national,5
go,5
project,5
photo,4
care,4
please,4
school,4
science,4
plus,4
part,4
news,4
live,4
mail,4
data,4
life,4
home,4
design,4
find,4
form,4
welcome,4
end,4
head,4
health,4
lake,4
library,4
post,4
station,4
star,4
black,4
could,3
old,3
loan,3
foreign,3
fresh,3
general,3
exhibit,3
original,3
grant,3
custom,3
count,3
look,3
lot,3
hell,3
hit,3
mayor,3
department,3
human,3
land,3
last,3
little,3
young,3
sun,3
possible,3
since,3
see,3
sale,3
water,3
take,3
also,3
restaurant,3
show,3
read,3
special,3
central,3
air,3
woman,3
president,3
wish,3
stone,3
lady,2
tie,2
thank,2
holder,2
telephone,2
hope,2
house,2
technology,2
surface,2
innovation,2
label,2
kitchen,2
input,2
kind,2
help,2
pool,2
top,2
god,2
fish,2
food,2
wing,2
win,2
fun,2
white,2
girl,2
west,2
web,2
touch,2
government,2
gray,2
half,2
view,2
happy,2
study,2
toy,2
town,2
hard,2
step,2
student,2
none,2
milk,2
mix,2
morning,2
rock,2
must,2
river,2
resort,2
next,2
representative,2
master,2
open,2
protect,2
film,2
problem,2
performance,2
pro,2
pretty,2
present,2
sand,2
mark,2
street,2
social,2
license,2
still,2
staff,2
like,2
spirit,2
space,2
son,2
local,2
log,2
select,2
long,2
snow,2
love,2
low,2
mad,2
make,2
set,2
sell,2
final,2
able,2
edition,2
back,2
every,2
even,2
entry,2
color,2
card,2
electric,2
election,2
camp,2
daughter,2
cable,2
community,2
business,2
bus,2
contact,2
art,2
content,2
convention,2
break,2
box,2
cool,2
beauty,2
die,2
country,2
body,2
course,2
creative,2
dad,2
day,2
everyone,2
bill,2
family,2
festival,2
chip,2
center,2
anyone,2
change,2
another,2
fast,2
club,2
cluster,2
extra,2
chamber,1
sorry,1
chance,1
soldier,1
society,1
rent,1
protest,1
breathe,1
program,1
sleep,1
skin,1
bright,1
prove,1
simply,1
silver,1
slow,1
character,1
southern,1
presidential,1
bit,1
blue,1
start,1
board,1
standard,1
chicken,1
charge,1
bottom,1
spot,1
print,1
border,1
speed,1
boss,1
brown,1
sign,1
bury,1
sex,1
budget,1
car,1
really,1
row,1
carry,1
cash,1
rear,1
right,1
rid,1
return,1
cat,1
cell,1
resist,1
reference,1
research,1
reform,1
real,1
say,1
scare,1
quality,1
pure,1
cent,1
serious,1
senior,1
purpose,1
selection,1
seek,1
call,1
seed,1
buy,1
secret,1
seal,1
score,1
quick,1
file,1
behind,1
stick,1
assess,1
wealthy,1
approximately,1
watch,1
article,1
wall,1
wake,1
vote,1
visitor,1
village,1
video,1
wear,1
victory,1
vice,1
van,1
value,1
user,1
attention,1
award,1
unit,1
ultimately,1
weapon,1
ally,1
bike,1
winner,1
yes,1
writer,1
accept,1
act,1
add,1
word,1
wood,1
address,1
adult,1
afford,1
western,1
wine,1
window,1
wind,1
aid,1
wild,1
wide,1
whole,1
aircraft,1
wheel,1
turn,1
tune,1
true,1
bed,1
team,1
taste,1
tank,1
tall,1
battle,1
beach,1
sure,1
support,1
sum,1
studio,1
trick,1
behavior,1
strongly,1
stroke,1
precise,1
strange,1
stop,1
believe,1
stock,1
stir,1
tear,1
technical,1
bath,1
basically,1
transform,1
train,1
tradition,1
trade,1
away,1
baby,1
tower,1
totally,1
ball,1
tool,1
today,1
time,1
ban,1
think,1
thing,1
theory,1
bank,1
tennis,1
tend,1
pregnancy,1
clear,1
power,1
island,1
interior,1
intense,1
drink,1
driver,1
industry,1
independent,1
improve,1
image,1
ill,1
ideal,1
hunger,1
dry,1
however,1
household,1
due,1
ear,1
hot,1
earth,1
hook,1
international,1
issue,1
egg,1
item,1
level,1
letter,1
let,1
league,1
director,1
large,1
dirty,1
discover,1
disk,1
division,1
knowledge,1
know,1
knee,1
divorce,1
drama,1
draw,1
keep,1
journey,1
job,1
edge,1
historical,1
pound,1
express,1
extreme,1
fruit,1
fair,1
frequency,1
foundation,1
far,1
foot,1
father,1
fold,1
flower,1
flat,1
flash,1
feel,1
first,1
fire,1
finish,1
finger,1
fine,1
female,1
fund,1
expand,1
hill,1
exhibition,1
highly,1
electronic,1
heart,1
element,1
empire,1
enjoy,1
happiness,1
handle,1
evaluation,1
guide,1
green,1
great,1
grain,1
graduate,1
governor,1
evil,1
exchange,1
golden,1
gold,1
device,1
desire,1
absolute,1
code,1
pace,1
overall,1
cold,1
origin,1
organic,1
orange,1
opera,1
come,1
command,1
oil,1
official,1
ocean,1
number,1
notice,1
nothing,1
northern,1
north,1
compete,1
computer,1
pair,1
coal,1
deposit,1
peace,1
chocolate,1
church,1
port,1
popular,1
citizen,1
claim,1
police,1
pocket,1
clean,1
pleasure,1
fight,1
play,1
planet,1
plan,1
place,1
pipe,1
pink,1
personnel,1
perfect,1
connection,1
neighbor,1
need,1
neck,1
cooperation,1
core,1
counter,1
major,1
main,1
county,1
lunch,1
crime,1
cultural,1
culture,1
cup,1
lock,1
load,1
decrease,1
link,1
line,1
deep,1
light,1
lift,1
conversation,1
mate,1
material,1
mood,1
near,1
nature,1
natural,1
constant,1
construction,1
music,1
mountain,1
contain,1
month,1
matter,1
monitor,1
modern,1
miss,1
mind,1
control,1
military,1
medical,1
conventional,1
lie,1
