text,count
book,3
get,3
die,3
would,2
may,2
one,2
cut,2
control,2
suspend,1
win,1
nice,1
new,1
must,1
mostly,1
mode,1
war,1
market,1
old,1
mail,1
low,1
love,1
lot,1
live,1
line,1
north,1
van,1
summer,1
real,1
strength,1
test,1
stock,1
spend,1
south,1
sale,1
range,1
trend,1
race,1
pop,1
police,1
life,1
theory,1
particular,1
like,1
add,1
less,1
board,1
color,1
close,1
carry,1
capital,1
call,1
buy,1
break,1
bill,1
lecture,1
bar,1
ban,1
attraction,1
association,1
art,1
also,1
aid,1
composition,1
context,1
destruction,1
dog,1
ago,1
land,1
hard,1
hand,1
gun,1
good,1
go,1
general,1
frame,1
fiction,1
far,1
fantastic,1
even,1
episode,1
ease,1
late,1
