text,count
new,12
man,3
pro,3
grand,3
guard,3
happy,3
choose,3
life,3
national,3
day,3
year,3
team,3
big,3
band,3
sea,2
staff,2
fan,2
farm,2
game,2
state,2
hi,2
incident,2
know,2
love,2
run,2
may,2
mission,2
since,2
daily,2
old,2
organic,2
service,2
red,2
rock,2
official,2
able,2
boot,2
army,2
bowl,1
bridge,1
region,1
regional,1
release,1
reserve,1
brand,1
route,1
crash,1
quiet,1
secretary,1
book,1
sight,1
bill,1
site,1
ski,1
read,1
proud,1
space,1
protection,1
pipe,1
plant,1
play,1
plus,1
police,1
popular,1
port,1
pot,1
president,1
price,1
brother,1
profession,1
program,1
progress,1
project,1
social,1
spin,1
dad,1
sport,1
twin,1
union,1
upper,1
use,1
various,1
veteran,1
way,1
west,1
wild,1
win,1
winner,1
world,1
worth,1
would,1
youth,1
tube,1
try,1
true,1
tackle,1
beyond,1
stand,1
star,1
ban,1
stay,1
style,1
take,1
tree,1
ball,1
tear,1
thing,1
tool,1
totally,1
tournament,1
pink,1
picture,1
party,1
first,1
forest,1
fresh,1
front,1
gain,1
compare,1
generation,1
get,1
go,1
company,1
grant,1
green,1
group,1
coast,1
coal,1
hard,1
fly,1
fire,1
owner,1
find,1
cost,1
dark,1
contact,1
discovery,1
division,1
ear,1
enter,1
episode,1
equipment,1
faith,1
construction,1
concept,1
federal,1
fight,1
file,1
hello,1
city,1
hit,1
home,1
manage,1
certain,1
cent,1
motor,1
case,1
native,1
network,1
car,1
news,1
noun,1
cap,1
business,1
one,1
open,1
bus,1
also,1
mail,1
magazine,1
land,1
honor,1
hope,1
choice,1
justice,1
chocolate,1
lake,1
last,1
lucky,1
law,1
legal,1
chip,1
local,1
challenge,1
low,1
zone,1
