text,count
rescue,35
army,29
police,16
air,16
royal,11
service,8
coast,8
fire,8
danger,8
guard,7
bond,6
arm,5
force,4
flight,4
news,3
box,3
county,3
center,3
north,3
south,3
sky,2
see,2
federal,2
fish,2
line,2
global,2
great,2
device,2
public,2
keep,2
people,2
loss,2
low,2
maintenance,2
man,2
new,2
push,2
northern,2
west,2
spirit,2
state,2
way,2
bell,2
time,2
speed,1
post,1
port,1
wave,1
point,1
welcome,1
pen,1
past,1
pass,1
park,1
promote,1
win,1
wind,1
wing,1
pair,1
one,1
official,1
number,1
wood,1
work,1
would,1
prevent,1
twist,1
use,1
train,1
spring,1
skill,1
step,1
sea,1
notion,1
scale,1
stop,1
say,1
stress,1
support,1
team,1
salt,1
safety,1
thank,1
top,1
really,1
rapid,1
range,1
town,1
put,1
trade,1
science,1
access,1
never,1
champion,1
disappoint,1
defend,1
death,1
damage,1
cup,1
critical,1
crash,1
cow,1
country,1
control,1
close,1
clear,1
city,1
celebration,1
national,1
cause,1
case,1
care,1
business,1
book,1
bloody,1
blind,1
black,1
besides,1
band,1
balance,1
average,1
aircraft,1
disk,1
dramatic,1
east,1
electricity,1
metal,1
mass,1
look,1
light,1
level,1
learn,1
league,1
last,1
king,1
island,1
injury,1
holiday,1
hold,1
hi,1
hell,1
go,1
gift,1
get,1
gear,1
foundation,1
follow,1
fold,1
fly,1
find,1
far,1
exceed,1
enter,1
youth,1
