text,count
one,7
family,7
may,6
garden,5
day,5
sun,5
plant,5
white,4
flower,4
hot,4
green,4
system,3
live,3
long,3
look,3
house,3
class,3
sweet,3
love,3
fan,3
tree,3
orange,3
welcome,3
work,3
national,3
water,3
good,3
get,3
part,2
photo,2
spring,2
special,2
read,2
harbor,2
early,2
filter,2
principal,2
show,2
fall,2
game,2
full,2
forth,2
new,2
paint,2
grow,2
van,2
way,2
beer,2
mom,2
brush,2
buy,2
town,2
center,2
organic,2
code,2
mouth,2
ban,2
coffee,2
must,2
strong,2
add,2
annual,2
year,2
program,1
reach,1
next,1
recent,1
quality,1
put,1
province,1
notice,1
peace,1
proceed,1
prize,1
odd,1
people,1
open,1
pour,1
position,1
pop,1
place,1
original,1
pink,1
picture,1
page,1
red,1
across,1
series,1
relax,1
university,1
story,1
street,1
strength,1
tale,1
talk,1
tea,1
temperature,1
thank,1
throughout,1
upon,1
report,1
use,1
user,1
variety,1
via,1
wall,1
want,1
well,1
winter,1
wonderful,1
stop,1
still,1
statement,1
state,1
review,1
rid,1
river,1
rock,1
run,1
safety,1
salt,1
sand,1
self,1
shadow,1
shop,1
side,1
single,1
snow,1
society,1
soil,1
south,1
standard,1
start,1
news,1
little,1
need,1
name,1
come,1
comment,1
company,1
cool,1
cost,1
counter,1
country,1
credit,1
cultural,1
culture,1
dad,1
danger,1
delivery,1
description,1
dig,1
dream,1
ear,1
eat,1
edition,1
either,1
end,1
college,1
collection,1
clear,1
back,1
advantage,1
age,1
album,1
appear,1
art,1
artist,1
autumn,1
average,1
away,1
base,1
car,1
beach,1
bell,1
bill,1
birth,1
box,1
bright,1
brown,1
bus,1
call,1
entrance,1
extreme,1
fail,1
landscape,1
image,1
important,1
innovation,1
inside,1
iron,1
journey,1
keep,1
kitchen,1
know,1
let,1
home,1
like,1
link,1
loss,1
lot,1
man,1
marry,1
medium,1
might,1
mobile,1
human,1
history,1
farm,1
go,1
find,1
fire,1
first,1
food,1
form,1
friendly,1
friendship,1
gain,1
give,1
god,1
hi,1
golden,1
ground,1
group,1
guest,1
guide,1
hand,1
heat,1
heavily,1
hello,1
zone,1
