text,count
army,68
new,50
one,40
good,27
time,26
go,25
day,22
work,22
get,21
big,20
open,19
make,19
house,19
use,18
free,18
hi,18
school,18
state,18
lot,18
life,18
photo,17
real,17
like,17
love,17
man,17
team,17
right,16
run,16
look,16
part,16
world,15
festival,15
camp,14
club,14
crew,14
people,14
long,13
would,13
bank,13
center,13
way,13
know,13
may,13
save,12
service,12
national,12
old,12
war,12
end,12
box,12
staff,12
top,12
ad,12
money,12
car,11
support,11
power,11
land,11
rock,11
win,11
air,11
arm,11
west,11
buy,10
give,10
bill,10
future,10
say,10
stop,10
many,10
control,10
home,10
also,10
sure,10
never,10
see,10
volunteer,9
last,9
take,9
key,9
keep,9
city,9
party,9
live,9
police,9
net,9
show,9
son,9
bar,9
social,9
creative,9
side,9
want,9
road,9
college,8
code,8
star,8
family,8
color,8
red,8
research,8
room,8
turn,8
little,8
grand,8
less,8
hope,8
ask,8
next,8
kill,8
gun,8
king,8
beer,8
moon,8
pro,7
foot,7
read,7
north,7
force,7
community,7
well,7
tax,7
welcome,7
international,7
sale,7
special,7
place,7
shop,7
cup,7
line,7
hot,7
ice,7
green,7
fashion,7
call,7
bear,7
book,7
low,7
year,7
add,7
come,7
back,7
rest,7
tour,7
beach,7
ball,7
orange,7
royal,7
could,7
capital,7
light,6
might,6
law,6
company,6
miss,6
ill,6
please,6
since,6
due,6
port,6
forward,6
pride,6
friend,6
full,6
pay,6
reject,6
game,6
hall,6
high,6
digital,6
happy,6
die,6
poll,6
hard,6
design,6
health,6
hell,6
clean,6
zone,6
director,6
yes,6
van,6
vote,6
boy,6
bell,6
annual,6
tell,6
word,6
try,6
age,6
baby,6
production,5
fair,5
guard,5
oil,5
body,5
radio,5
even,5
security,5
space,5
fall,5
girl,5
count,5
far,5
farm,5
valley,5
university,5
post,5
per,5
sing,5
thank,5
silver,5
fight,5
thing,5
black,5
speaker,5
think,5
hello,5
winner,5
late,5
mark,5
drop,5
ring,5
act,5
care,5
tool,5
east,5
imagine,5
eat,5
bus,5
brown,5
access,5
much,5
must,5
class,5
library,5
need,5
square,5
sea,5
really,5
sport,5
file,4
fire,4
first,4
field,4
revolution,4
federal,4
town,4
ride,4
ear,4
price,4
edition,4
travel,4
emergency,4
public,4
race,4
era,4
fish,4
enjoy,4
park,4
play,4
mobile,4
association,4
walk,4
wall,4
area,4
nation,4
hour,4
wear,4
mom,4
web,4
fly,4
insurance,4
matter,4
island,4
marry,4
mail,4
action,4
let,4
local,4
heart,4
news,4
nice,4
hand,4
person,4
universe,4
fresh,4
front,4
pen,4
peace,4
battle,4
root,4
global,4
via,4
vice,4
grant,4
great,4
away,4
award,4
nothing,4
vision,4
roll,4
blue,4
science,4
shirt,4
sweet,4
talk,4
share,4
dance,4
sun,4
deal,4
cost,4
send,4
software,4
country,4
challenge,4
cool,4
style,4
calm,4
sound,4
soon,4
cat,4
department,4
stand,4
stone,4
snow,3
victory,3
contract,3
number,3
half,3
ban,3
original,3
gold,3
head,3
outside,3
night,3
value,3
gift,3
touch,3
piano,3
unit,3
shot,3
perfect,3
foundation,3
freedom,3
thin,3
celebration,3
cent,3
believe,3
sir,3
behind,3
crazy,3
fun,3
cow,3
beat,3
gap,3
gay,3
general,3
hear,3
sky,3
contact,3
natural,3
technology,3
magic,3
cold,3
job,3
aid,3
wind,3
wing,3
still,3
coach,3
kind,3
stock,3
lake,3
wide,3
woman,3
lover,3
lead,3
stuff,3
story,3
loss,3
accurate,3
accept,3
strong,3
iron,3
meet,3
help,3
human,3
connect,3
around,3
picture,3
apart,3
name,3
watch,3
musical,3
music,3
answer,3
mountain,3
institutional,3
