text,count
new,9
old,4
know,4
right,4
good,4
tell,3
line,3
like,3
one,3
photo,3
keep,3
hall,3
stop,3
book,3
lot,3
also,3
work,3
try,3
wood,3
age,3
film,3
get,2
fashion,2
law,2
knowledge,2
federal,2
festival,2
go,2
hi,2
happy,2
find,2
free,2
freedom,2
little,2
god,2
love,2
live,2
low,2
word,2
woman,2
west,2
well,2
war,2
use,2
ultimately,2
top,2
strong,2
street,2
state,2
sex,2
see,2
run,2
real,2
people,2
even,2
may,2
marry,2
far,2
young,2
art,2
army,2
contact,2
check,2
buy,2
city,2
sing,1
brother,1
sexual,1
share,1
shine,1
show,1
sick,1
sigh,1
sit,1
brown,1
ski,1
social,1
solid,1
solve,1
sorry,1
special,1
spend,1
sport,1
staff,1
stare,1
segment,1
ease,1
still,1
seal,1
pride,1
promise,1
provide,1
public,1
put,1
race,1
rail,1
rate,1
read,1
call,1
red,1
research,1
reserve,1
rest,1
revolution,1
rock,1
roof,1
room,1
business,1
sand,1
say,1
brand,1
box,1
stock,1
present,1
wall,1
want,1
web,1
week,1
welcome,1
arm,1
apartment,1
white,1
win,1
window,1
wing,1
winner,1
wise,1
without,1
agenda,1
afternoon,1
add,1
across,1
world,1
would,1
yes,1
vote,1
usually,1
away,1
take,1
story,1
bloody,1
stretch,1
bill,1
style,1
success,1
sun,1
suppose,1
sweet,1
technology,1
back,1
bell,1
test,1
thank,1
time,1
today,1
together,1
beautiful,1
town,1
trip,1
press,1
pop,1
power,1
fun,1
gas,1
crew,1
give,1
create,1
cream,1
craft,1
gray,1
guy,1
hair,1
county,1
hand,1
copy,1
harbor,1
hat,1
health,1
heart,1
hell,1
hello,1
high,1
hole,1
human,1
gallery,1
front,1
election,1
dark,1
element,1
end,1
energy,1
enter,1
earn,1
dollar,1
dog,1
favorite,1
discuss,1
design,1
field,1
figure,1
deserve,1
finally,1
democracy,1
first,1
fit,1
fly,1
food,1
forever,1
dear,1
hunger,1
idea,1
imagine,1
investigation,1
museum,1
nearly,1
need,1
center,1
nice,1
night,1
nose,1
nothing,1
oil,1
care,1
car,1
online,1
order,1
peace,1
cancel,1
per,1
perspective,1
camp,1
plane,1
please,1
plus,1
much,1
mouth,1
central,1
life,1
joke,1
company,1
kill,1
king,1
comfort,1
color,1
land,1
college,1
liberal,1
light,1
chance,1
coffee,1
club,1
class,1
look,1
accord,1
change,1
make,1
many,1
mark,1
abortion,1
