text,count
new,8
call,5
go,5
people,4
west,4
book,4
army,4
good,4
guard,3
nothing,3
crew,3
right,3
imagine,3
hi,3
arm,3
world,3
wood,3
forward,3
head,2
light,2
far,2
look,2
live,2
free,2
man,2
life,2
get,2
land,2
knowledge,2
hope,2
language,2
past,2
may,2
stop,2
would,2
white,2
watch,2
use,2
top,2
thank,2
sun,2
sing,2
next,2
since,2
say,2
sand,2
run,2
rock,2
project,2
one,2
design,2
young,2
bell,2
college,2
also,2
boy,2
air,2
car,2
age,2
cat,2
big,2
cancel,2
central,2
real,1
relationship,1
ring,1
restaurant,1
restore,1
rail,1
put,1
revolution,1
border,1
religion,1
boot,1
road,1
bowl,1
room,1
route,1
row,1
body,1
sale,1
blue,1
scale,1
see,1
sex,1
protect,1
cream,1
press,1
party,1
network,1
news,1
cable,1
north,1
brown,1
old,1
brother,1
online,1
open,1
order,1
pass,1
practical,1
brand,1
peace,1
photo,1
pink,1
pipe,1
planet,1
please,1
plus,1
police,1
sexual,1
pop,1
begin,1
sigh,1
near,1
tonight,1
tool,1
art,1
tough,1
transport,1
tube,1
tune,1
type,1
union,1
upper,1
veteran,1
via,1
war,1
way,1
week,1
aid,1
wild,1
wing,1
afternoon,1
work,1
act,1
worth,1
across,1
year,1
yes,1
together,1
today,1
time,1
beer,1
size,1
son,1
sorry,1
sound,1
special,1
square,1
stare,1
start,1
state,1
station,1
stock,1
street,1
ban,1
stretch,1
strong,1
style,1
success,1
band,1
support,1
suppose,1
swear,1
take,1
taste,1
test,1
nearly,1
musical,1
native,1
copy,1
either,1
enough,1
enter,1
era,1
event,1
excuse,1
experience,1
extra,1
count,1
federal,1
festival,1
fight,1
find,1
first,1
force,1
forever,1
form,1
could,1
cost,1
front,1
fun,1
future,1
gain,1
gap,1
gas,1
educate,1
edition,1
edit,1
deficit,1
cow,1
criminal,1
cross,1
cry,1
cup,1
cut,1
dance,1
day,1
dead,1
dear,1
deep,1
democracy,1
earn,1
county,1
digital,1
dinner,1
director,1
discuss,1
distant,1
division,1
dream,1
drink,1
duty,1
ear,1
general,1
gift,1
national,1
contact,1
access,1
last,1
law,1
leader,1
let,1
liberal,1
center,1
cent,1
little,1
cell,1
local,1
lot,1
main,1
make,1
many,1
mass,1
cancer,1
mean,1
memory,1
minor,1
mission,1
moon,1
much,1
music,1
create,1
lake,1
chance,1
know,1
history,1
concept,1
government,1
gray,1
company,1
guy,1
hard,1
hat,1
health,1
heart,1
coal,1
high,1
hole,1
kill,1
city,1
house,1
human,1
hunger,1
idea,1
check,1
incident,1
industry,1
insurance,1
international,1
island,1
able,1
