text,count
tea,5
kitchen,4
coffee,3
treat,3
spin,2
sorry,2
classic,2
tool,2
yellow,2
please,2
use,2
filter,2
natural,2
long,2
promote,1
program,1
push,1
profession,1
quick,1
port,1
process,1
pressure,1
power,1
reduction,1
pop,1
plastic,1
past,1
part,1
park,1
read,1
sick,1
regular,1
reserve,1
wind,1
waste,1
wash,1
visit,1
update,1
university,1
unit,1
till,1
thank,1
sugar,1
strong,1
street,1
sound,1
size,1
single,1
outside,1
set,1
paper,1
air,1
one,1
eliminate,1
double,1
different,1
design,1
day,1
customer,1
counter,1
could,1
complex,1
clock,1
class,1
cast,1
care,1
cap,1
camp,1
bear,1
ask,1
army,1
area,1
amount,1
ear,1
fee,1
news,1
first,1
also,1
moon,1
model,1
minute,1
metal,1
live,1
list,1
like,1
let,1
less,1
intervention,1
ice,1
hot,1
hold,1
help,1
handle,1
gain,1
fruit,1
free,1
move,1
