text,count
cat,110
fire,70
new,63
police,54
car,42
service,39
bus,38
case,38
stop,35
state,35
city,34
man,31
may,31
go,29
engine,29
one,26
power,24
water,24
rescue,23
truck,23
hot,23
first,22
work,22
use,22
part,21
emergency,21
look,21
vehicle,21
national,21
big,21
school,20
total,20
back,19
king,19
club,19
army,19
land,19
speed,18
road,18
would,18
ice,18
good,18
open,17
pay,17
danger,16
express,16
air,16
low,16
control,16
top,16
oil,16
time,15
win,15
tour,15
taxi,15
sport,15
son,15
international,15
safety,15
street,15
get,15
park,15
please,14
van,14
high,14
keep,14
mobile,14
way,14
team,14
net,14
book,14
run,14
load,13
market,13
home,13
pro,13
fuel,13
line,13
special,13
group,13
lot,13
north,13
see,13
call,13
department,13
drive,13
menu,12
bike,12
model,12
box,12
since,12
star,12
food,12
press,12
long,12
door,12
world,12
red,11
need,11
class,11
like,11
news,11
real,11
life,11
grand,11
show,11
bill,11
push,11
sale,11
beach,11
set,11
check,11
south,10
southern,10
via,10
could,10
general,10
cream,10
let,10
ad,10
dog,10
motor,10
say,10
old,10
day,10
mode,10
shell,10
love,10
cross,10
company,10
free,10
phone,10
transport,10
fresh,10
space,10
trip,10
project,10
save,9
try,9
per,9
equipment,9
tank,9
technology,9
mass,9
change,9
future,9
hall,9
electric,9
track,9
tax,9
hi,9
shop,9
ride,9
bar,9
area,9
west,9
welcome,9
social,9
read,9
community,8
end,8
house,8
center,8
mail,8
force,8
body,8
hill,8
collection,8
unit,8
great,8
close,8
central,8
support,8
telephone,8
appear,8
sure,8
post,8
lift,8
live,8
know,8
head,8
square,8
county,8
still,8
easy,7
coach,7
must,7
passenger,7
office,7
travel,7
next,7
research,7
local,7
computer,7
stand,7
every,7
rear,7
range,7
start,7
radio,7
town,7
bell,7
standard,7
boss,7
grow,7
business,7
village,7
buy,7
brown,7
less,7
watch,7
green,7
capacity,7
play,7
gate,7
federal,6
fan,6
lean,6
online,6
well,6
owner,6
pump,6
driver,6
station,6
rock,6
public,6
war,6
take,6
farm,6
wheel,6
justice,6
pass,6
wall,6
bank,6
wide,6
custom,6
without,6
fish,6
sand,6
really,6
step,6
music,6
daily,6
protection,6
monitor,6
storage,6
select,6
blue,6
hour,6
board,6
act,6
move,6
mark,6
last,6
restaurant,6
route,6
ahead,6
union,6
coast,6
staff,6
cold,6
produce,6
plant,6
front,6
horse,6
royal,6
system,6
soon,6
soft,6
concept,6
month,6
thank,6
light,6
master,5
guard,5
science,5
poor,5
art,5
aid,5
original,5
source,5
health,5
fast,5
night,5
scan,5
dead,5
self,5
wood,5
classic,5
country,5
pace,5
turn,5
shot,5
progress,5
chicken,5
response,5
side,5
eastern,5
idea,5
production,5
commercial,5
history,5
bin,5
come,5
color,5
full,5
coal,5
photo,5
management,5
gas,5
price,5
enterprise,5
silver,5
band,5
heavy,5
crew,5
toy,5
machine,5
traffic,5
bag,5
sound,5
clean,5
ear,5
help,5
milk,5
access,5
military,5
pressure,5
maximum,5
happy,5
late,4
list,4
estate,4
energy,4
seat,4
law,4
learn,4
museum,4
link,4
flow,4
supply,4
gear,4
society,4
ill,4
friendly,4
fun,4
share,4
gay,4
many,4
incident,4
god,4
hit,4
hire,4
gray,4
guy,4
hand,4
formula,4
series,4
exact,4
far,4
seek,4
large,4
factory,4
fair,4
lake,4
family,4
key,4
information,4
sky,4
mission,4
miss,4
mirror,4
small,4
mad,4
golden,4
follow,4
race,4
wing,4
quality,4
aircraft,4
number,4
valley,4
yes,4
yellow,4
year,4
able,4
chance,4
visit,4
champion,4
tire,4
pour,4
operator,4
order,4
coffee,4
cost,4
reality,4
camera,4
right,4
tourist,4
carbon,4
card,4
tower,4
ready,4
train,4
cash,4
around,4
rent,4
pop,4
tell,4
week,4
drop,4
trust,4
never,4
bid,4
university,4
connect,4
bit,4
action,4
test,4
tune,4
college,4
command,4
text,4
western,4
network,4
plastic,4
spirit,3
room,3
poll,3
clear,3
place,3
kid,3
cell,3
ancient,3
mate,3
chocolate,3
chain,3
giant,3
medical,3
pocket,3
urban,3
chapter,3
government,3
location,3
golf,3
cheese,3
child,3
roll,3
global,3
natural,3
universal,3
ocean,3
care,3
waste,3
hope,3
black,3
wild,3
weather,3
pull,3
average,3
human,3
hunger,3
bend,3
away,3
protect,3
resort,3
weekly,3
beauty,3
bear,3
respect,3
snow,3
block,3
pride,3
half,3
warm,3
capital,3
camp,3
victory,3
hard,3
hate,3
build,3
job,3
site,3
island,3
purpose,3
map,3
return,3
bridge,3
breakfast,3
brand,3
retail,3
historic,3
join,3
rail,3
twin,3
morning,3
add,3
mountain,3
leave,3
success,3
expensive,3
experience,3
think,3
die,3
extra,3
eye,3
cut,3
fail,3
monthly,3
delivery,3
adult,3
operate,3
yard,3
fat,3
date,3
collect,3
dig,3
left,3
direct,3
none,3
election,3
search,3
tea,3
sea,3
economy,3
youth,3
enter,3
east,3
dry,3
talk,3
drink,3
region,3
division,3
swing,3
remote,3
across,3
sweet,3
even,3
event,3
modern,3
money,3
cook,3
performance,3
stay,3
partnership,3
fly,3
focus,3
always,3
complex,3
serve,3
forward,3
convention,3
forest,3
also,3
construction,3
meter,3
people,3
corporation,3
common,3
mind,3
steel,3
store,3
festival,3
field,3
cup,3
little,3
paint,3
paper,3
court,3
send,3
counter,3
