text,count
strong,2
bag,2
form,2
north,2
night,2
red,2
also,2
national,1
network,1
new,1
rice,1
must,1
money,1
one,1
online,1
pack,1
pink,1
please,1
adventure,1
sand,1
sail,1
mad,1
save,1
service,1
sharp,1
skill,1
social,1
star,1
steel,1
together,1
tourist,1
toy,1
video,1
water,1
mom,1
look,1
low,1
farm,1
anyone,1
application,1
bell,1
black,1
blood,1
coffee,1
control,1
day,1
desert,1
drive,1
dry,1
every,1
face,1
fashion,1
aid,1
feel,1
find,1
first,1
gear,1
get,1
go,1
half,1
hall,1
health,1
hear,1
hello,1
house,1
ill,1
win,1
