text,count
army,784
new,455
one,330
money,231
go,226
police,225
man,214
state,202
big,196
may,194
use,187
team,182
free,182
stop,181
day,176
run,174
world,170
good,168
get,154
club,141
would,137
life,129
national,128
time,128
win,125
look,124
work,123
hi,119
university,115
net,114
policy,111
city,106
red,106
air,106
bill,105
photo,103
real,102
service,101
love,101
cup,100
staff,99
like,98
west,96
fly,94
social,93
live,91
way,90
open,89
lot,89
also,87
people,87
war,87
say,87
die,84
support,84
old,83
know,83
fire,83
let,82
end,82
many,81
rock,81
make,79
right,79
box,78
center,77
son,77
college,76
blue,76
pro,76
news,75
justice,75
digital,75
per,74
mark,74
bar,73
car,73
show,73
top,72
low,72
arm,72
want,72
change,71
see,71
union,70
radio,69
call,69
security,68
law,68
could,67
home,66
green,66
great,66
pay,66
exchange,66
house,65
fight,65
festival,65
international,65
part,64
back,64
crew,64
game,64
land,64
long,63
road,62
king,61
book,61
local,61
star,61
web,61
come,60
sport,60
keep,60
camp,60
last,60
control,59
ad,59
save,59
less,59
since,59
point,58
first,58
try,57
south,57
music,57
care,57
special,57
force,56
community,56
vote,56
north,56
sun,55
business,55
society,55
take,54
via,54
sure,54
beer,54
foundation,53
play,53
buy,53
award,53
far,52
need,52
speaker,51
health,51
power,51
brown,51
ice,51
food,51
put,50
art,50
park,50
must,50
ask,49
water,49
edition,49
thing,49
tour,49
bank,49
mail,48
please,48
high,48
film,47
hall,47
every,47
post,47
hot,47
happy,46
coal,46
even,46
press,46
capital,46
next,46
light,46
party,45
line,45
soon,44
east,44
beach,44
yes,44
hard,44
tax,44
hello,43
place,43
welcome,43
oil,43
van,43
think,43
march,43
global,42
bus,42
walk,42
nation,42
company,41
clean,41
action,41
bell,41
stand,41
guard,40
help,40
county,40
grand,40
black,40
classic,40
cost,40
gun,40
aid,40
creative,39
original,39
add,39
general,39
public,39
bad,38
school,38
town,38
shop,38
age,38
freedom,38
ban,38
well,38
boy,38
president,37
loss,37
sand,37
ear,37
space,37
gas,37
tell,37
case,37
band,37
eat,36
side,36
department,36
price,36
kill,36
sale,36
pride,36
fun,35
design,35
set,35
around,35
port,35
bike,35
volunteer,35
choice,35
strike,35
drive,35
ride,34
much,34
human,34
cut,34
mobile,34
god,34
never,34
respect,34
sound,34
bet,34
key,34
system,34
give,33
family,33
start,33
sky,33
test,33
plus,33
share,33
imagine,33
group,33
champion,32
civil,32
code,32
ill,32
true,32
act,32
read,32
drink,32
without,32
ball,32
contact,32
football,32
office,31
body,31
peace,31
street,31
track,31
list,31
challenge,31
head,31
cross,31
year,31
dead,31
wood,31
night,30
hell,30
unit,30
series,30
heart,30
visitor,30
file,30
guy,30
hand,30
find,30
event,30
quality,29
really,29
network,29
together,29
mission,29
extra,28
hill,28
field,28
hope,28
fresh,28
future,28
gay,28
turn,28
trust,28
color,28
wall,28
proud,28
step,28
still,28
technology,28
district,27
cat,27
official,27
central,27
brand,27
white,27
wind,27
boot,27
room,27
property,27
class,27
pop,26
tool,26
user,26
matter,26
sea,26
science,26
none,26
chip,26
bit,26
sponsor,26
mix,26
league,26
thank,26
deal,26
strong,26
government,25
moon,25
sex,25
photograph,25
winner,25
fair,25
fast,25
date,25
grant,25
project,25
