text,count
pilot,17
fine,13
permanent,9
point,8
pen,8
extra,7
use,4
last,3
like,3
cap,3
name,3
one,3
would,3
work,3
tip,3
public,3
practice,2
look,2
filter,2
foreign,2
go,2
good,2
know,2
water,2
trick,2
map,2
man,2
street,2
new,2
old,2
school,2
distance,2
road,2
real,2
phone,2
organization,2
knowledge,2
book,2
bill,2
box,2
ask,2
also,2
dear,2
call,2
raw,1
part,1
row,1
round,1
pay,1
ride,1
restaurant,1
replace,1
recover,1
back,1
quality,1
big,1
pure,1
bit,1
see,1
bar,1
project,1
praise,1
believe,1
bet,1
beyond,1
artist,1
develop,1
self,1
try,1
activity,1
win,1
add,1
war,1
wall,1
view,1
via,1
adopt,1
university,1
understand,1
trip,1
series,1
approve,1
tax,1
support,1
art,1
strange,1
star,1
social,1
small,1
shall,1
service,1
sell,1
nice,1
bus,1
help,1
hard,1
guy,1
great,1
contact,1
cost,1
generate,1
framework,1
dance,1
fix,1
day,1
final,1
field,1
fade,1
delivery,1
entrance,1
email,1
electronic,1
electric,1
dry,1
double,1
dog,1
division,1
desert,1
hello,1
hi,1
die,1
hope,1
buy,1
net,1
need,1
moon,1
may,1
carry,1
choice,1
low,1
choose,1
listen,1
line,1
code,1
life,1
less,1
common,1
land,1
achieve,1
compute,1
key,1
issue,1
income,1
improve,1
image,1
ability,1
