text,count
home,17
sweet,9
water,3
show,3
love,3
bear,2
thank,2
relax,2
rest,2
heart,2
hotel,2
big,2
state,2
dream,2
box,2
wish,2
like,2
good,2
place,1
new,1
nature,1
miss,1
nice,1
menu,1
nobody,1
morning,1
peace,1
person,1
accept,1
plan,1
pretty,1
say,1
man,1
sigh,1
snow,1
sound,1
time,1
turn,1
use,1
way,1
wood,1
would,1
see,1
let,1
low,1
express,1
around,1
article,1
automatically,1
bin,1
bit,1
border,1
chip,1
chocolate,1
cow,1
day,1
draw,1
earth,1
economy,1
escape,1
far,1
lot,1
fast,1
follow,1
form,1
fun,1
get,1
grant,1
green,1
happy,1
hell,1
hi,1
lady,1
large,1
ad,1
long,1
yes,1
