text,count
man,6
big,5
per,4
sugar,4
go,4
cheese,3
share,3
cream,3
gun,2
brown,2
really,2
state,2
real,2
original,2
sex,2
hot,2
one,2
fish,2
milk,2
look,2
winter,2
agricultural,2
low,2
van,2
bar,2
poor,1
pen,1
set,1
see,1
second,1
record,1
place,1
piece,1
pour,1
read,1
reaction,1
plain,1
rapid,1
play,1
prevent,1
accept,1
shop,1
talk,1
wonder,1
wing,1
weekend,1
water,1
warm,1
want,1
try,1
top,1
till,1
test,1
team,1
tall,1
sweet,1
shot,1
sure,1
stranger,1
still,1
station,1
spread,1
sport,1
southern,1
soon,1
song,1
sing,1
side,1
show,1
society,1
make,1
open,1
bridge,1
cover,1
conventional,1
contact,1
company,1
coffee,1
cheap,1
celebrate,1
cash,1
cap,1
cable,1
bus,1
breathe,1
date,1
bread,1
bottle,1
bone,1
bit,1
back,1
away,1
ask,1
art,1
anyone,1
agent,1
age,1
cup,1
design,1
news,1
hand,1
market,1
mark,1
afternoon,1
lot,1
know,1
keep,1
island,1
house,1
hit,1
heavy,1
happy,1
hall,1
dinner,1
grin,1
green,1
good,1
gold,1
full,1
fill,1
extra,1
entry,1
end,1
egg,1
due,1
would,1
