text,count
state,4
giant,3
place,3
fair,2
county,2
new,2
record,2
farm,2
spring,2
custom,2
live,2
club,2
technology,1
winner,1
much,1
must,1
work,1
nose,1
nuclear,1
opera,1
original,1
part,1
party,1
per,1
pick,1
win,1
use,1
pound,1
welcome,1
salt,1
section,1
walk,1
mirror,1
sex,1
valley,1
sure,1
table,1
tale,1
air,1
know,1
may,1
large,1
bit,1
box,1
cancel,1
car,1
choice,1
color,1
computer,1
cup,1
day,1
department,1
design,1
egg,1
energy,1
entry,1
first,1
football,1
format,1
found,1
freedom,1
good,1
great,1
grow,1
history,1
house,1
husband,1
investment,1
island,1
kill,1
big,1
would,1
