text,count
new,10
please,5
pass,5
wonderful,5
color,5
tea,5
time,4
pink,4
famous,4
world,4
open,3
yellow,3
ground,3
white,3
see,3
home,3
era,3
page,3
one,3
grand,2
great,2
know,2
large,2
leave,2
thick,2
next,2
welcome,2
yard,2
passion,2
free,2
price,2
size,2
slowly,2
strong,2
absolutely,2
long,2
drive,2
cup,1
sell,1
seed,1
completely,1
second,1
season,1
ring,1
rich,1
return,1
remarkable,1
red,1
read,1
purpose,1
protect,1
produce,1
contract,1
post,1
country,1
plate,1
plant,1
culture,1
photograph,1
perhaps,1
perfect,1
senior,1
festival,1
shot,1
top,1
always,1
anything,1
beauty,1
black,1
box,1
brilliant,1
visible,1
valuable,1
unlike,1
type,1
together,1
single,1
castle,1
center,1
thank,1
temporary,1
century,1
tank,1
summer,1
certain,1
chocolate,1
collection,1
per,1
dark,1
form,1
express,1
iron,1
indicate,1
illustration,1
idea,1
house,1
honor,1
ever,1
hold,1
hand,1
evidence,1
fact,1
particularly,1
good,1
golden,1
get,1
generally,1
gate,1
fully,1
full,1
freedom,1
fan,1
forth,1
job,1
emotional,1
design,1
let,1
daughter,1
dear,1
deep,1
occasion,1
demand,1
description,1
nearly,1
much,1
miss,1
member,1
marriage,1
many,1
man,1
mail,1
mad,1
love,1
afford,1
load,1
little,1
like,1
light,1
young,1
