text,count
book,72
new,69
world,37
free,35
man,35
make,32
life,31
art,30
one,26
would,26
last,26
smart,26
big,23
may,21
energy,21
work,20
love,20
good,20
great,20
health,19
east,18
use,18
edition,18
kind,18
science,17
house,16
news,16
home,16
guide,16
fire,16
press,16
price,16
time,15
know,15
get,15
natural,14
fiction,13
see,13
design,13
game,13
kiss,13
day,13
half,13
hand,12
history,12
age,12
little,12
win,12
library,12
food,12
read,11
white,11
power,11
favorite,11
college,11
son,11
state,11
box,11
order,11
special,11
way,11
chocolate,11
bill,10
cook,10
dead,10
set,10
car,10
family,10
long,10
lot,10
many,10
war,10
real,10
also,10
reference,9
soft,9
cat,9
like,9
system,9
land,9
clear,9
color,9
mind,9
national,9
hi,9
cow,9
go,9
dark,9
old,9
fruit,9
form,9
season,9
part,9
first,9
sale,9
open,9
look,9
bar,9
watch,9
wild,9
black,9
author,9
word,8
school,8
mix,8
mark,8
true,8
play,8
low,8
king,8
code,8
star,8
start,8
law,8
complete,8
top,8
need,8
live,8
web,8
show,7
anyone,7
music,7
oil,7
city,7
country,7
hope,7
file,7
south,7
van,7
net,7
travel,7
count,7
miss,7
control,7
wind,7
social,7
die,7
question,7
cake,7
say,7
royal,7
light,7
bear,7
empire,7
theory,7
battle,7
business,7
run,6
brand,6
happy,6
stand,6
hard,6
century,6
could,6
revolution,6
literature,6
club,6
red,6
sound,6
grand,6
grade,6
sleep,6
god,6
ask,6
earth,6
heart,6
sea,6
tea,6
second,6
chicken,6
storm,6
town,6
place,6
evolution,6
try,6
please,6
morning,6
success,6
take,6
sun,6
clean,6
mass,6
support,6
journal,6
bike,5
next,5
pop,5
office,5
unknown,5
official,5
easy,5
sex,5
wall,5
shop,5
pink,5
curious,5
put,5
per,5
volume,5
court,5
everything,5
operation,5
diet,5
original,5
back,5
public,5
bit,5
every,5
review,5
street,5
name,5
milk,5
tower,5
magazine,5
story,5
case,5
knowledge,5
much,5
loss,5
brain,5
wood,5
thing,5
brown,5
cold,5
collection,5
think,5
nation,5
staff,5
total,5
year,5
never,5
computer,5
board,5
action,5
mode,5
well,5
station,5
community,5
beautiful,4
reason,4
end,4
index,4
intelligence,4
beach,4
air,4
eat,4
process,4
language,4
keep,4
modern,4
relief,4
list,4
enterprise,4
let,4
adventure,4
glass,4
idea,4
money,4
gene,4
nuclear,4
water,4
future,4
hall,4
welcome,4
head,4
freedom,4
visual,4
paper,4
mystery,4
ball,4
hell,4
peace,4
help,4
must,4
high,4
perfect,4
fit,4
move,4
hot,4
mother,4
planet,4
hunger,4
give,4
plus,4
pocket,4
farm,4
far,4
nature,4
display,4
thank,4
truth,4
store,4
soul,4
soon,4
blue,4
contact,4
tell,4
snap,4
style,4
sugar,4
change,4
team,4
stop,4
sky,4
supplement,4
cost,4
sure,4
survival,4
sing,4
side,4
short,4
crime,4
server,4
digital,4
service,4
river,4
tool,4
boot,4
stomach,4
come,4
command,4
room,4
buy,4
classical,4
dog,4
drink,4
row,4
class,4
bus,4
away,3
available,3
counter,3
fun,3
hello,3
wake,3
cough,3
mountain,3
origin,3
cream,3
hit,3
pale,3
sweet,3
bad,3
classic,3
cry,3
culture,3
murder,3
philosophy,3
paint,3
slow,3
garden,3
fix,3
spring,3
grow,3
group,3
green,3
architecture,3
standard,3
source,3
chip,3
network,3
check,3
block,3
coffee,3
mouth,3
student,3
none,3
want,3
trail,3
summer,3
holiday,3
healthy,3
mission,3
guy,3
girl,3
personal,3
tail,3
quick,3
practice,3
lover,3
aid,3
technology,3
bank,3
care,3
adult,3
promise,3
thin,3
large,3
development,3
everyday,3
touch,3
even,3
safe,3
keen,3
reader,3
ready,3
call,3
local,3
bed,3
register,3
road,3
less,3
research,3
economy,3
eastern,3
ugly,3
right,3
bridge,3
port,3
without,3
hill,3
darkness,3
film,3
wing,3
talk,3
island,3
self,3
job,3
final,3
mad,3
boy,3
wine,3
fast,3
secret,3
tale,3
security,3
police,3
point,3
link,2
whole,2
symptom,2
mathematics,2
window,2
write,2
management,2
medicine,2
listen,2
wide,2
mean,2
mate,2
stone,2
tissue,2
today,2
mouse,2
luck,2
lock,2
mostly,2
mistake,2
mobile,2
winter,2
wise,2
machine,2
test,2
moon,2
strong,2
strange,2
mental,2
tape,2
middle,2
metal,2
till,2
magic,2
technical,2
main,2
mount,2
log,2
rice,2
wheel,2
truck,2
problem,2
pro,2
print,2
prime,2
scan,2
scene,2
seal,2
popular,2
poor,2
produce,2
via,2
trip,2
pleasure,2
trick,2
selection,2
plant,2
sell,2
send,2
save,2
product,2
stock,2
rock,2
return,2
restrict,2
rest,2
universe,2
rescue,2
report,2
religion,2
release,2
root,2
project,2
reality,2
urban,2
rule,2
radio,2
turn,2
sample,2
protest,2
sand,2
plan,2
plain,2
senior,2
southern,2
north,2
rich,2
snow,2
software,2
solution,2
song,2
weather,2
sorry,2
space,2
picture,2
naturally,2
weird,2
square,2
trap,2
traffic,2
step,2
west,2
still,2
novel,2
nowhere,2
tree,2
small,2
piano,2
view,2
people,2
shelter,2
pay,2
shore,2
party,2
partly,2
park,2
parallel,2
page,2
since,2
ski,2
online,2
skin,2
object,2
number,2
tour,2
access,2
flow,2
giant,2
grant,2
beyond,2
gold,2
bind,2
global,2
connect,2
bird,2
edge,2
blind,2
blood,2
generation,2
gear,2
concern,2
gas,2
bell,2
believe,2
gray,2
gun,2
happiness,2
content,2
behavior,2
convince,2
become,2
cool,2
copy,2
honor,2
basic,2
