text,count
net,154
cheese,144
chocolate,106
original,77
edition,59
good,53
milk,45
new,44
natural,42
cream,39
potato,37
dinner,36
fruit,34
naturally,34
pack,33
mix,33
chicken,32
free,31
classic,30
real,28
one,27
whole,27
bar,25
big,25
great,25
bread,24
per,24
size,23
sugar,22
family,22
ice,21
may,20
fat,20
sweet,20
hot,19
win,19
happy,18
value,18
pop,18
cup,18
keep,18
since,18
go,17
special,17
egg,17
man,17
use,16
cool,16
dark,16
box,16
time,16
source,16
grain,16
rich,15
fresh,15
inside,15
less,14
protein,14
kind,14
rice,14
organic,14
see,13
red,13
stuff,13
open,13
say,13
general,13
white,12
chip,12
cake,12
light,12
collect,12
quality,12
taste,12
post,11
love,11
look,11
like,11
know,11
salt,11
food,11
sale,10
try,10
party,10
low,10
easy,10
orange,10
part,9
day,9
world,9
oil,9
beer,9
show,9
news,9
get,9
could,9
brand,9
product,9
black,8
would,8
star,8
detail,8
origin,8
high,8
extra,8
rock,8
meat,8
pot,8
double,8
run,8
style,8
save,7
far,7
work,7
call,7
car,7
country,7
cow,7
pure,7
delight,7
still,7
state,7
break,7
healthy,7
price,7
thank,7
life,7
every,7
color,7
blue,7
soft,7
top,7
water,6
ready,6
ear,6
die,6
thick,6
suggestion,6
dog,6
favorite,6
lot,6
put,6
total,6
manner,6
tea,6
back,6
brown,6
bus,6
via,6
half,6
seal,6
home,6
hi,6
roll,6
house,6
ad,5
spread,5
first,5
law,5
bill,5
many,5
simply,5
hard,5
book,5
cut,5
stick,5
wonder,5
even,5
come,5
green,5
seed,5
little,5
list,5
gold,5
fair,5
famous,5
perfect,5
giant,5
old,5
also,5
daily,5
buy,5
movie,5
moon,5
spring,5
fun,5
wild,5
need,5
play,5
side,5
breakfast,5
cook,5
content,5
school,5
smoke,4
allow,4
hope,4
regular,4
golden,4
air,4
gift,4
farm,4
team,4
god,4
grand,4
help,4
full,4
stone,4
wood,4
key,4
king,4
information,4
ground,4
smooth,4
game,4
way,4
lift,4
club,4
might,4
town,4
choose,4
city,4
bite,4
mom,4
diet,4
round,4
ban,4
dry,4
coffee,4
heat,4
cold,4
combine,4
selection,4
complete,4
base,4
turn,4
contact,4
shot,4
sell,4
raw,4
pro,4
eat,4
prize,4
center,4
road,4
weight,4
make,4
case,4
sand,4
want,4
safe,3
root,3
hello,3
package,3
produce,3
restaurant,3
pick,3
phone,3
peace,3
hold,3
sea,3
plain,3
name,3
network,3
kiss,3
link,3
loss,3
lucky,3
read,3
small,3
sing,3
smart,3
ride,3
right,3
late,3
quick,3
last,3
mark,3
market,3
pull,3
prime,3
island,3
soul,3
miss,3
mission,3
shell,3
mother,3
much,3
shake,3
must,3
line,3
national,3
standard,3
station,3
rest,3
boss,3
bed,3
energy,3
together,3
welcome,3
tree,3
trick,3
court,3
course,3
boy,3
bring,3
take,3
vital,3
twin,3
control,3
contain,3
van,3
class,3
cluster,3
company,3
fight,3
sun,3
tax,3
bag,3
stock,3
ask,3
wing,3
tour,3
aid,3
edit,3
totally,3
wind,3
hand,3
traditional,3
without,3
fully,3
stop,3
separate,2
office,2
offer,2
trail,2
dish,2
service,2
compound,2
complex,2
mess,2
comment,2
serve,2
true,2
next,2
mind,2
copy,2
deep,2
neck,2
mine,2
nature,2
trade,2
dad,2
valley,2
stay,2
share,2
morning,2
mobile,2
heart,2
central,2
college,2
collection,2
bomb,2
process,2
block,2
promotion,2
bike,2
prove,2
bath,2
pump,2
pupil,2
wine,2
baby,2
art,2
annual,2
yellow,2
region,2
add,2
release,2
press,2
present,2
preparation,2
cause,2
past,2
pay,2
variety,2
vegetable,2
dream,2
science,2
place,2
care,2
power,2
please,2
satisfy,2
plus,2
business,2
portion,2
breast,2
wash,2
short,2
march,2
live,2
medium,2
string,2
hour,2
iron,2
everything,2
thing,2
garden,2
sort,2
fund,2
success,2
spirit,2
slow,2
excellent,2
thin,2
experience,2
sure,2
suggest,2
layer,2
sound,2
supplement,2
forever,2
