text,count
ocean,6
army,5
side,4
old,4
fly,3
bill,3
pro,3
look,3
open,2
love,2
content,2
point,2
may,2
project,2
new,2
gold,2
ring,2
need,2
energy,2
sound,2
near,2
town,2
capital,2
bank,2
title,2
west,2
van,2
also,2
book,2
real,1
read,1
power,1
upper,1
property,1
valley,1
red,1
program,1
proud,1
order,1
vary,1
perception,1
rice,1
way,1
orange,1
one,1
winner,1
oil,1
wood,1
word,1
work,1
reflect,1
tire,1
ride,1
sky,1
team,1
system,1
strength,1
stock,1
state,1
standard,1
sport,1
special,1
south,1
sort,1
soft,1
silver,1
test,1
sign,1
national,1
tough,1
shoot,1
share,1
sex,1
see,1
section,1
school,1
say,1
root,1
action,1
mail,1
much,1
electronic,1
diversity,1
die,1
design,1
cross,1
country,1
could,1
control,1
command,1
collection,1
club,1
class,1
city,1
check,1
championship,1
champion,1
central,1
brother,1
boost,1
body,1
blue,1
big,1
battle,1
base,1
ban,1
ball,1
bag,1
application,1
allow,1
air,1
due,1
ever,1
mood,1
explore,1
mobile,1
man,1
main,1
age,1
magic,1
lucky,1
low,1
league,1
king,1
kind,1
key,1
join,1
insurance,1
inside,1
hot,1
hill,1
high,1
green,1
go,1
glass,1
give,1
gift,1
giant,1
foundation,1
final,1
field,1
federal,1
fan,1
factory,1
youth,1
