text,count
right,9
everyone,7
may,6
love,6
step,5
must,4
time,4
way,4
call,4
let,3
watch,3
hi,3
man,3
respect,3
use,3
rest,3
day,3
earn,2
social,2
game,2
family,2
hello,2
hard,2
jump,2
order,2
one,2
long,2
need,2
create,2
live,2
fall,2
community,2
top,2
car,2
take,2
avoid,2
tell,2
always,2
another,2
never,1
news,1
want,1
property,1
private,1
prevent,1
power,1
poetry,1
play,1
win,1
photo,1
pen,1
peace,1
wish,1
passenger,1
public,1
part,1
without,1
net,1
would,1
yellow,1
night,1
writer,1
wait,1
stop,1
real,1
museum,1
song,1
street,1
somewhere,1
software,1
studio,1
sky,1
success,1
sit,1
simple,1
shelter,1
share,1
shall,1
vision,1
serious,1
series,1
say,1
save,1
think,1
safe,1
run,1
room,1
van,1
region,1
stand,1
red,1
access,1
mobile,1
count,1
charity,1
climb,1
common,1
concentrate,1
consider,1
control,1
country,1
fair,1
creative,1
culture,1
design,1
dramatic,1
education,1
entry,1
carry,1
care,1
brown,1
broad,1
brain,1
book,1
bone,1
board,1
bit,1
bet,1
bed,1
bear,1
bad,1
back,1
away,1
available,1
anyone,1
every,1
file,1
mere,1
life,1
instruction,1
international,1
keep,1
lady,1
left,1
library,1
like,1
financial,1
ally,1
look,1
low,1
mail,1
many,1
match,1
innocent,1
human,1
hold,1
high,1
head,1
hate,1
happiness,1
hand,1
hall,1
guy,1
go,1
girl,1
get,1
gene,1
friendship,1
freedom,1
forward,1
yesterday,1
