text,count
way,14
one,9
stop,8
street,8
zone,6
must,5
enter,5
right,4
go,4
may,4
time,4
taxi,4
road,4
west,3
market,3
turn,3
city,3
union,3
bridge,3
test,3
town,3
seem,2
tour,2
experience,2
fact,2
true,2
hope,2
keep,2
little,2
lot,2
mount,2
weak,2
would,2
new,2
notice,2
wood,2
park,2
public,2
east,2
port,2
access,2
available,2
bus,2
college,2
case,2
beach,2
county,2
boat,2
salt,1
say,1
catalog,1
shade,1
delivery,1
route,1
share,1
sheep,1
shop,1
sit,1
soon,1
south,1
royal,1
center,1
sport,1
coffee,1
pass,1
pay,1
phone,1
play,1
point,1
popular,1
post,1
ring,1
protein,1
church,1
read,1
red,1
repair,1
check,1
speed,1
state,1
stage,1
bell,1
young,1
year,1
also,1
always,1
wine,1
western,1
apply,1
welcome,1
bag,1
walk,1
wait,1
via,1
bath,1
truck,1
start,1
traffic,1
track,1
big,1
tower,1
bike,1
tomorrow,1
block,1
think,1
tank,1
surface,1
subject,1
car,1
stone,1
party,1
overall,1
discovery,1
grow,1
get,1
give,1
glass,1
cry,1
grand,1
ground,1
hair,1
comedy,1
hi,1
high,1
cross,1
hotel,1
hour,1
house,1
gear,1
gate,1
gallery,1
furniture,1
force,1
fish,1
field,1
fashion,1
culture,1
daily,1
expect,1
except,1
day,1
deep,1
dry,1
drive,1
district,1
information,1
innovation,1
international,1
convention,1
old,1
command,1
none,1
night,1
commercial,1
compare,1
musical,1
constitute,1
motor,1
morning,1
monthly,1
money,1
mission,1
mayor,1
corner,1
job,1
many,1
cost,1
alcohol,1
live,1
limit,1
library,1
less,1
left,1
lay,1
last,1
lake,1
kind,1
crew,1
joke,1
look,1
