text,count
new,33
one,32
book,23
good,20
man,18
go,18
make,18
time,17
would,15
state,14
look,13
open,13
day,12
way,12
please,12
use,12
win,12
work,12
many,11
may,11
food,11
know,11
web,11
university,11
red,10
social,10
design,10
radio,10
district,10
play,10
international,10
library,10
need,10
world,10
big,9
line,9
coffee,9
control,9
school,9
life,9
art,9
photo,9
happy,9
program,9
box,8
hot,8
beer,8
cake,8
sky,8
news,8
power,8
people,8
show,8
mark,8
home,7
star,7
club,7
let,7
table,7
team,7
top,7
love,7
zone,7
also,7
research,6
deal,6
back,6
extra,6
technology,6
car,6
stop,6
oil,6
tea,6
welcome,6
real,6
class,6
financial,6
center,6
first,6
singer,6
national,6
support,6
change,6
lot,6
gun,6
shop,6
like,6
education,6
service,6
see,6
creative,6
law,6
port,6
touch,6
cup,6
free,6
put,6
live,6
list,6
say,6
college,5
count,5
son,5
moon,5
much,5
west,5
pay,5
chocolate,5
registration,5
part,5
old,5
file,5
project,5
special,5
bar,5
park,5
festival,5
per,5
stand,5
net,5
mobile,5
great,5
bill,5
information,5
house,5
secretary,5
year,5
high,5
brown,5
local,5
long,5
low,5
gallery,5
group,5
take,5
content,5
sure,5
give,5
grant,5
celebrate,5
gold,5
edition,5
sale,4
reserve,4
scale,4
room,4
pure,4
van,4
public,4
department,4
vote,4
dinner,4
bike,4
director,4
really,4
disk,4
trade,4
president,4
energy,4
keep,4
lack,4
ill,4
hour,4
access,4
lie,4
ad,4
hi,4
help,4
health,4
wood,4
guide,4
mail,4
grade,4
maker,4
wine,4
golden,4
get,4
mass,4
white,4
model,4
fall,4
water,4
party,4
executive,4
article,4
place,4
county,4
earth,4
business,4
champion,4
since,4
sun,4
cluster,4
color,4
thank,4
small,4
black,4
taste,4
believe,4
classic,4
company,4
community,4
start,4
trust,4
student,4
cost,4
tell,4
space,4
strong,4
pool,3
bell,3
bus,3
healthy,3
speed,3
post,3
source,3
combination,3
money,3
thing,3
waste,3
end,3
think,3
come,3
limit,3
even,3
want,3
word,3
hire,3
summer,3
add,3
central,3
century,3
loss,3
field,3
card,3
main,3
without,3
chicken,3
float,3
flat,3
magic,3
care,3
citizen,3
forest,3
call,3
city,3
forget,3
strange,3
coal,3
federal,3
next,3
nice,3
success,3
store,3
station,3
hand,3
lover,3
ago,3
organic,3
button,3
pack,3
paper,3
light,3
press,3
electronic,3
restaurant,3
future,3
risk,3
rock,3
ice,3
chamber,3
bag,3
lake,3
membership,3
run,3
death,3
wind,3
sweet,3
shot,3
cook,3
via,3
master,3
cool,3
short,3
general,3
custom,3
core,3
culture,3
science,3
cross,3
market,3
whole,3
security,3
march,3
send,3
boss,3
revolution,3
resident,3
cat,3
committee,3
study,3
fresh,3
private,3
soon,3
bet,3
pro,3
protect,3
hope,3
due,3
minute,3
computer,3
smart,3
sign,3
drink,3
lean,3
milk,3
blue,3
talk,3
board,3
town,3
site,3
ball,3
museum,3
leader,3
available,3
author,3
dog,3
true,2
management,2
manager,2
window,2
series,2
television,2
lay,2
track,2
iron,2
justice,2
trace,2
key,2
kill,2
king,2
kitchen,2
young,2
toy,2
land,2
large,2
last,2
yes,2
territory,2
leg,2
less,2
lesson,2
tourism,2
wrong,2
travel,2
title,2
thus,2
thin,2
lunch,2
luxury,2
tree,2
machine,2
tiny,2
strip,2
system,2
society,2
repair,2
reflection,2
sleep,2
raw,2
volunteer,2
value,2
protection,2
produce,2
medium,2
someone,2
print,2
practice,2
practical,2
wake,2
poverty,2
popular,2
