text,count
taxi,118
duty,16
yellow,14
new,11
man,8
police,5
street,4
driver,4
initial,4
steady,4
walk,4
tax,4
town,3
fresh,3
also,3
enter,3
union,3
look,2
project,2
service,2
trip,2
estate,2
see,2
group,2
mile,2
green,2
plus,2
radio,2
finish,2
comfort,2
come,2
first,2
search,2
black,2
choice,2
form,2
ride,2
home,2
card,2
car,2
south,2
rear,1
park,1
recover,1
next,1
real,1
private,1
race,1
none,1
north,1
process,1
price,1
port,1
number,1
poll,1
royal,1
one,1
owner,1
play,1
planet,1
people,1
party,1
river,1
work,1
save,1
try,1
taste,1
technology,1
test,1
thank,1
time,1
traffic,1
van,1
say,1
vote,1
water,1
way,1
western,1
white,1
win,1
string,1
store,1
stop,1
start,1
spot,1
special,1
space,1
sort,1
soft,1
ski,1
would,1
since,1
show,1
net,1
winner,1
security,1
seat,1
series,1
ad,1
must,1
chase,1
club,1
coal,1
community,1
company,1
compute,1
convention,1
cool,1
cost,1
credit,1
cross,1
crowd,1
day,1
dedicate,1
die,1
discovery,1
city,1
charge,1
drop,1
celebration,1
air,1
angry,1
arm,1
author,1
award,1
away,1
bad,1
bar,1
basic,1
bill,1
bird,1
blow,1
camera,1
capital,1
carry,1
door,1
early,1
music,1
keep,1
know,1
last,1
light,1
local,1
logic,1
lose,1
management,1
additional,1
match,1
may,1
meet,1
mental,1
mobile,1
monthly,1
morning,1
king,1
investigation,1
eat,1
independent,1
entrance,1
era,1
extraordinary,1
factory,1
fashion,1
flag,1
free,1
full,1
gentle,1
get,1
global,1
gun,1
hi,1
host,1
hour,1
mark,1
