text,count
collect,11
line,5
phone,5
open,4
ideal,3
unit,3
telephone,3
save,3
power,2
volume,2
call,2
meter,2
application,2
owner,2
release,2
press,2
select,1
service,1
alarm,1
ring,1
reverse,1
record,1
set,1
pay,1
public,1
soon,1
sexual,1
thank,1
would,1
wake,1
use,1
universal,1
tone,1
thick,1
stop,1
short,1
state,1
speech,1
specify,1
speak,1
sorry,1
sit,1
operate,1
much,1
one,1
equipment,1
dead,1
credit,1
cow,1
control,1
code,1
clock,1
channel,1
case,1
buy,1
box,1
boot,1
bell,1
area,1
approval,1
anywhere,1
discount,1
extra,1
number,1
food,1
never,1
answer,1
model,1
mode,1
minimum,1
many,1
loss,1
look,1
lock,1
load,1
language,1
input,1
initial,1
head,1
gun,1
writer,1
