text,count
free,7
state,7
welcome,7
farm,6
way,6
new,6
music,6
look,5
local,5
organic,5
justice,5
save,5
may,5
chicken,4
get,4
church,4
city,4
energy,4
use,4
stop,4
home,4
food,4
festival,4
green,4
see,3
service,3
join,3
hot,3
history,3
buy,3
factory,3
debt,3
press,3
please,3
club,3
hall,3
day,3
culture,3
come,3
one,3
like,3
man,3
business,3
society,3
mountain,3
spot,3
education,3
union,3
store,3
university,3
bar,3
want,3
big,3
well,3
fresh,3
grand,3
fun,3
face,3
would,3
tea,3
let,2
freedom,2
first,2
land,2
fast,2
far,2
fantastic,2
furniture,2
group,2
lake,2
know,2
game,2
hand,2
keep,2
gift,2
island,2
iron,2
ice,2
global,2
go,2
good,2
great,2
mayor,2
harbor,2
gas,2
action,2
move,2
total,2
southern,2
special,2
stick,2
support,2
system,2
team,2
tent,2
thank,2
thing,2
today,2
tour,2
sound,2
trail,2
transportation,2
valley,2
van,2
water,2
week,2
west,2
win,2
wing,2
work,2
south,2
soft,2
must,2
power,2
natural,2
nature,2
next,2
open,2
order,2
part,2
peace,2
fair,2
plastic,2
play,2
present,2
snow,2
protect,2
retail,2
rice,2
rock,2
run,2
session,2
ship,2
shop,2
since,2
sky,2
performance,2
light,2
citizen,2
bank,2
electric,2
ask,2
drive,2
available,2
bag,2
ban,2
band,2
beer,2
entrance,2
deep,2
black,2
box,2
camp,2
council,2
concept,2
cluster,2
area,2
choose,2
every,2
aid,2
wear,1
send,1
shell,1
adopt,1
world,1
campaign,1
series,1
select,1
sale,1
seem,1
cancer,1
security,1
science,1
school,1
address,1
shelter,1
call,1
bus,1
bond,1
wonderful,1
blue,1
soon,1
son,1
something,1
soil,1
wood,1
shoulder,1
social,1
boy,1
branch,1
breast,1
simple,1
show,1
card,1
cash,1
safe,1
project,1
yard,1
radio,1
quite,1
put,1
protest,1
chat,1
program,1
bird,1
product,1
pro,1
print,1
prime,1
previous,1
cheese,1
ready,1
real,1
really,1
red,1
reform,1
refugee,1
region,1
regional,1
register,1
change,1
center,1
rid,1
rise,1
cat,1
role,1
roll,1
royal,1
bit,1
sport,1
anyone,1
transition,1
attempt,1
twin,1
air,1
try,1
trust,1
transport,1
train,1
bill,1
back,1
traditional,1
town,1
bad,1
top,1
tool,1
unit,1
association,1
urban,1
also,1
usually,1
art,1
arm,1
visitor,1
weekend,1
volunteer,1
vote,1
walk,1
wall,1
answer,1
war,1
apply,1
weather,1
together,1
balance,1
time,1
studio,1
staff,1
stake,1
star,1
bike,1
station,1
bet,1
stone,1
besides,1
choice,1
story,1
stretch,1
adventure,1
strip,1
student,1
success,1
wet,1
summer,1
supply,1
wine,1
sure,1
survey,1
beat,1
take,1
taste,1
battle,1
basic,1
telephone,1
wind,1
advice,1
thin,1
bell,1
family,1
pour,1
independence,1
ill,1
digital,1
direct,1
hope,1
discover,1
hit,1
dish,1
hill,1
high,1
hello,1
health,1
district,1
dog,1
door,1
gun,1
improve,1
innocent,1
dream,1
inside,1
late,1
defend,1
laboratory,1
deliver,1
kitchen,1
kiss,1
kill,1
kid,1
department,1
deserve,1
journey,1
design,1
desk,1
die,1
insurance,1
guide,1
dust,1
post,1
formula,1
foot,1
event,1
fit,1
fish,1
fire,1
financial,1
finally,1
everything,1
female,1
fat,1
exam,1
exhibit,1
expense,1
extreme,1
fan,1
forever,1
foundation,1
early,1
essential,1
grade,1
earth,1
east,1
edit,1
educate,1
elect,1
general,1
election,1
future,1
email,1
functional,1
enough,1
fuel,1
friendly,1
enter,1
law,1
lay,1
league,1
pale,1
coffee,1
collection,1
option,1
color,1
company,1
oil,1
office,1
number,1
north,1
none,1
nice,1
compose,1
news,1
net,1
neighborhood,1
original,1
park,1
least,1
coal,1
port,1
famous,1
civil,1
plate,1
close,1
planet,1
plan,1
phone,1
clothing,1
people,1
peak,1
pay,1
past,1
pass,1
party,1
need,1
connection,1
consider,1
control,1
maintenance,1
lover,1
loss,1
lose,1
craft,1
cream,1
live,1
literature,1
listen,1
lip,1
crew,1
activity,1
library,1
currently,1
less,1
make,1
male,1
cow,1
money,1
cool,1
much,1
cost,1
mount,1
mortgage,1
month,1
mobile,1
management,1
mission,1
mind,1
meat,1
counter,1
country,1
market,1
young,1
