text,count
beer,156
energy,81
new,67
original,52
net,51
coffee,49
natural,42
real,39
diet,35
quality,35
drink,34
taste,34
chicken,33
true,32
one,31
tea,30
classic,27
red,26
sugar,25
product,24
pale,22
since,22
dry,21
free,20
company,19
use,18
black,18
blue,17
style,16
high,15
vegetable,14
oil,14
gold,14
pure,14
organic,14
light,13
water,13
healthy,13
cream,13
white,13
call,13
orange,13
first,12
extra,12
rich,12
mix,12
brand,12
green,12
old,12
like,12
meat,11
fire,11
weight,11
color,10
may,10
craft,10
life,10
win,10
trade,10
draft,9
enjoy,9
good,9
would,9
strong,9
salt,9
per,9
serve,8
car,8
drop,8
street,8
medium,8
dark,8
van,8
world,8
could,8
set,8
cold,8
big,8
mark,7
fruit,7
star,7
mind,7
great,7
pay,7
fine,7
time,7
add,7
paint,7
special,7
famous,6
back,6
alcohol,6
also,6
genuine,6
state,6
sale,6
ice,6
many,6
country,6
passion,6
heart,6
steel,6
whole,6
man,6
buy,6
camp,6
really,5
help,5
concentrate,5
construction,5
put,5
daily,5
deep,5
heat,5
sweet,5
naturally,5
size,5
body,5
export,5
boss,5
law,5
bright,5
top,5
grand,5
golden,5
news,5
food,5
produce,5
go,4
fan,4
morning,4
day,4
fat,4
request,4
meal,4
pour,4
easy,4
national,4
rest,4
every,4
freedom,4
full,4
fear,4
night,4
end,4
eat,4
excellent,4
look,4
rice,4
bill,4
low,4
solid,4
solution,4
still,4
long,4
brown,4
book,4
tradition,4
share,4
last,4
land,4
king,4
way,4
kick,4
wonderful,4
work,4
choice,4
home,4
content,4
see,4
sea,4
root,4
say,4
bar,3
cup,3
tree,3
cool,3
total,3
open,3
thin,3
base,3
know,3
far,3
mother,3
ill,3
supplement,3
faith,3
part,3
information,3
run,3
hot,3
none,3
get,3
year,3
reserve,3
joy,3
air,3
iron,3
wild,3
key,3
international,3
nature,3
necessary,3
need,3
release,3
round,3
want,3
kill,3
kind,3
hi,3
protein,3
extract,3
hire,3
powerful,3
shall,3
class,3
hero,3
port,3
present,3
select,3
cheese,3
group,3
play,3
milk,3
soon,3
pressure,3
standard,3
stick,3
consume,3
hand,3
pro,3
process,3
hear,3
burn,3
shot,3
consumer,3
hell,3
past,3
line,3
club,3
box,3
smooth,3
motor,2
medical,2
mount,2
make,2
metal,2
method,2
moon,2
love,2
mission,2
lean,2
least,2
lot,2
less,2
limit,2
might,2
protest,2
mountain,2
stuff,2
take,2
sure,2
support,2
sun,2
suggestion,2
success,2
store,2
thank,2
stop,2
stand,2
soil,2
soft,2
small,2
shop,2
tell,2
theater,2
session,2
vice,2
wood,2
within,2
west,2
well,2
wed,2
visit,2
value,2
thing,2
unique,2
union,2
type,2
traditional,2
thirst,2
think,2
shell,2
seed,2
movie,2
party,2
performance,2
perfectly,2
perfect,2
percent,2
pension,2
pen,2
package,2
please,2
pack,2
official,2
north,2
name,2
multiple,2
much,2
place,2
plus,2
secret,2
pub,2
save,2
rush,2
royal,2
room,2
roll,2
rock,2
provide,2
point,2
justice,2
proportion,2
prevent,2
press,2
power,2
pot,2
keep,2
young,2
find,2
exhibition,2
fast,2
feed,2
finish,2
bet,2
bell,2
fresh,2
garden,2
become,2
bear,2
general,2
god,2
ball,2
bad,2
award,2
gun,2
half,2
hall,2
harbor,2
autumn,2
fair,2
equally,2
ask,2
care,2
cost,2
control,2
culture,2
concept,2
cut,2
come,2
danger,2
data,2
date,2
collect,2
code,2
coast,2
die,2
distinct,2
choose,2
champion,2
drive,2
earth,2
case,2
attitude,2
course,2
amendment,2
house,2
hook,2
hunt,2
inch,2
ad,2
immediate,2
action,2
amount,2
adult,2
slowly,1
circle,1
smoke,1
civilian,1
wine,1
claim,1
slow,1
ski,1
chocolate,1
sir,1
sing,1
clear,1
simply,1
wind,1
valuable,1
child,1
spread,1
carbon,1
along,1
carefully,1
start,1
cause,1
center,1
century,1
split,1
close,1
spirit,1
certain,1
southern,1
sorry,1
ally,1
chairman,1
allow,1
shower,1
alarm,1
wing,1
cook,1
second,1
search,1
continue,1
continuous,1
contract,1
satisfy,1
satisfaction,1
sail,1
secretary,1
sad,1
copy,1
core,1
corporation,1
yet,1
counter,1
couple,1
contain,1
secure,1
winner,1
comment,1
wonder,1
aggressive,1
age,1
combination,1
shade,1
several,1
word,1
complex,1
connect,1
series,1
sensitive,1
sense,1
send,1
composition,1
seem,1
additional,1
