text,count
police,59
toy,18
go,18
good,17
new,17
box,16
car,15
shot,14
star,14
one,14
city,13
love,13
happy,13
big,12
special,12
man,12
world,11
use,11
would,11
free,11
service,11
state,10
play,10
many,10
wall,10
get,10
sale,10
cat,9
like,9
shout,9
unknown,9
may,9
press,9
try,9
model,8
movie,8
look,8
red,8
keep,8
bill,7
book,7
stop,7
net,7
hi,7
please,7
put,7
team,7
ban,7
win,7
hello,7
long,6
set,6
old,6
shop,6
touch,6
life,6
water,6
fun,6
top,6
smile,6
story,6
space,6
need,6
bank,6
fire,6
plastic,6
natural,6
call,5
time,5
think,5
see,5
cash,5
law,5
name,5
control,5
color,5
post,5
green,5
also,5
word,5
work,5
food,5
hard,5
start,5
bear,5
power,5
bell,5
soon,5
sound,5
real,5
welcome,5
per,5
side,5
run,5
action,5
give,5
shell,5
know,5
take,5
say,4
snow,4
save,4
game,4
gear,4
series,4
make,4
speed,4
danger,4
group,4
drink,4
high,4
day,4
hotel,4
ice,4
little,4
show,4
engine,4
less,4
floor,4
able,4
build,4
back,4
center,4
pop,4
pay,4
become,4
wood,4
part,4
air,4
buy,4
yellow,4
boy,4
open,4
coast,4
black,3
studio,3
sugar,3
strong,3
blue,3
party,3
really,3
body,3
eat,3
weight,3
dry,3
way,3
double,3
sell,3
inch,3
metal,3
beyond,3
belt,3
act,3
program,3
add,3
price,3
gas,3
wooden,3
fresh,3
wish,3
frame,3
pool,3
forever,3
wine,3
stand,3
finger,3
bar,3
height,3
help,3
let,3
extra,3
bed,3
system,3
god,3
mode,3
classic,3
dad,3
tire,3
tower,3
must,3
town,3
scale,3
room,3
creation,3
mine,3
cheese,3
tour,3
lot,3
magic,3
van,3
sand,3
count,3
line,3
train,3
motor,3
safety,3
common,3
news,3
club,3
seat,3
slide,2
heart,2
pink,2
plate,2
head,2
handle,2
place,2
push,2
hand,2
mix,2
guard,2
publisher,2
medical,2
mean,2
milk,2
project,2
match,2
snap,2
grass,2
pour,2
great,2
protect,2
mass,2
portion,2
market,2
small,2
public,2
pilot,2
response,2
pig,2
sex,2
key,2
medium,2
kid,2
king,2
kitchen,2
lake,2
loss,2
next,2
lock,2
justice,2
screen,2
pack,2
output,2
least,2
nice,2
leg,2
online,2
return,2
rear,2
journey,2
map,2
person,2
size,2
hit,2
home,2
oil,2
silver,2
move,2
hot,2
much,2
maintenance,2
rid,2
ill,2
pen,2
school,2
mail,2
accept,2
low,2
ship,2
item,2
since,2
spring,2
construction,2
collection,2
counter,2
cool,2
trade,2
transport,2
command,2
come,2
collect,2
tonight,2
code,2
coach,2
truck,2
chip,2
unit,2
university,2
country,2
cream,2
value,2
design,2
tea,2
digital,2
tell,2
die,2
test,2
designer,2
department,2
today,2
delivery,2
thing,2
tip,2
curious,2
cup,2
culture,2
change,2
castle,2
taxi,2
area,2
bath,2
ball,2
white,2
artist,2
article,2
around,2
anyone,2
beach,2
angry,2
without,2
ancient,2
aid,2
year,2
ad,2
western,2
well,2
care,2
brand,2
button,2
vision,2
business,2
bus,2
want,2
wash,2
bowl,2
bike,2
boot,2
weapon,2
boat,2
web,2
bit,2
bird,2
discovery,2
pro,2
target,2
strike,2
else,2
stamp,2
fix,2
fish,2
enjoy,2
find,2
entry,2
file,2
station,2
even,2
table,2
feel,2
farm,2
far,2
street,2
every,2
everything,2
store,2
fact,2
factory,2
education,2
fair,2
son,2
full,2
due,2
front,2
east,2
doctor,2
wing,1
remember,1
reason,1
stem,1
property,1
reflect,1
watch,1
promise,1
relief,1
worth,1
rent,1
remote,1
status,1
war,1
progress,1
stick,1
wage,1
volume,1
wrong,1
still,1
report,1
request,1
rescue,1
soft,1
ski,1
wonderful,1
sky,1
west,1
winter,1
slow,1
wind,1
whole,1
pure,1
stage,1
spirit,1
slight,1
south,1
proud,1
quick,1
protest,1
song,1
quite,1
stock,1
rat,1
read,1
reader,1
ready,1
soul,1
sort,1
realize,1
slave,1
professor,1
race,1
stranger,1
via,1
someone,1
summer,1
sun,1
shelf,1
tool,1
scare,1
support,1
together,1
sure,1
swim,1
score,1
title,1
share,1
tie,1
thirst,1
scream,1
tail,1
theme,1
sea,1
thank,1
season,1
shall,1
secret,1
talk,1
tall,1
secretary,1
tank,1
technology,1
server,1
serve,1
track,1
traditional,1
various,1
shock,1
reverse,1
rich,1
servant,1
user,1
sight,1
universe,1
ride,1
ring,1
unite,1
union,1
road,1
rock,1
unable,1
type,1
roof,1
trust,1
shower,1
root,1
trick,1
rough,1
row,1
royal,1
treat,1
safe,1
strongly,1
travel,1
short,1
trap,1
suit,1
software,1
lucky,1
prime,1
distance,1
discover,1
dinner,1
dig,1
difference,1
development,1
description,1
degree,1
deep,1
decide,1
dead,1
data,1
dark,1
dance,1
daily,1
customer,1
creative,1
create,1
cow,1
couple,1
could,1
corporation,1
corner,1
core,1
cook,1
continue,1
consumer,1
computer,1
display,1
district,1
presidential,1
dog,1
festival,1
fast,1
farmer,1
fan,1
famous,1
fall,1
face,1
eye,1
express,1
exceed,1
evening,1
estate,1
era,1
episode,1
entire,1
entertainment,1
enough,1
end,1
empire,1
elect,1
egg,1
effect,1
educational,1
edition,1
easy,1
drive,1
dream,1
compound,1
company,1
comment,1
comedy,1
boom,1
blood,1
birth,1
bin,1
begin,1
beautiful,1
battle,1
bad,1
baby,1
away,1
available,1
ask,1
art,1
arrange,1
animal,1
anger,1
amount,1
always,1
along,1
album,1
aircraft,1
aim,1
agenda,1
age,1
advice,1
adventure,1
adult,1
bottle,1
bread,1
break,1
channel,1
combine,1
coffee,1
cloud,1
clothes,1
close,1
clearly,1
class,1
choice,1
chocolate,1
child,1
chief,1
charity,1
challenge,1
breakfast,1
central,1
celebrate,1
category,1
case,1
card,1
cancer,1
busy,1
brown,1
bring,1
bridge,1
breed,1
breath,1
figure,1
final,1
flash,1
lose,1
ocean,1
occupy,1
none,1
night,1
never,1
network,1
nation,1
musical,1
music,1
moon,1
mood,1
mobile,1
mission,1
miss,1
mind,1
military,1
mile,1
might,1
meet,1
measure,1
mayor,1
master,1
marry,1
mark,1
march,1
maker,1
main,1
office,1
operation,1
opinion,1
phrase,1
present,1
presence,1
premise,1
position,1
popular,1
poor,1
plus,1
pleasant,1
planet,1
plan,1
pitch,1
pile,1
photo,1
orange,1
phone,1
phase,1
performance,1
perfectly,1
perfect,1
people,1
past,1
pass,1
partner,1
park,1
paint,1
organic,1
lunch,1
location,1
float,1
load,1
hell,1
heavy,1
hear,1
healthy,1
hall,1
grow,1
ground,1
gray,1
grand,1
graduate,1
golden,1
glass,1
glad,1
girl,1
generation,1
gate,1
future,1
fuel,1
fruit,1
friendly,1
freeze,1
forward,1
format,1
formal,1
football,1
follow,1
fly,1
historical,1
hook,1
horse,1
large,1
list,1
lip,1
link,1
lie,1
level,1
left,1
leave,1
learn,1
lead,1
lay,1
laugh,1
last,1
land,1
house,1
kiss,1
join,1
jail,1
island,1
iron,1
international,1
intend,1
instruction,1
inside,1
image,1
illness,1
ideal,1
zone,1
