text,count
fire,197
man,111
rescue,102
transport,100
service,79
truck,58
police,58
son,55
engine,49
hire,42
food,38
department,32
new,25
way,25
north,25
group,25
emergency,22
bus,22
county,22
ice,21
unit,21
one,21
south,21
power,19
international,19
car,18
company,18
storage,18
express,18
good,18
waste,18
vehicle,17
van,17
road,17
local,16
stop,16
recovery,16
phone,16
air,16
mobile,16
fresh,16
may,16
eat,16
total,15
heavy,15
load,14
school,14
cream,13
state,13
would,13
city,13
keep,13
support,13
back,12
plant,12
go,12
federal,11
electric,11
general,11
royal,11
say,11
drive,11
park,11
real,11
quality,11
need,11
pay,11
low,11
team,11
win,11
use,11
bank,11
see,10
like,10
move,10
delivery,10
call,10
water,10
medical,10
lady,10
since,10
sale,10
wide,10
right,9
king,9
west,9
hot,9
cat,9
speed,9
tell,9
gas,9
standard,9
beer,9
office,9
day,9
world,9
post,9
blue,9
come,8
division,8
hi,8
long,8
buy,8
cheese,8
always,8
supply,8
construction,8
star,8
shell,8
top,8
national,8
red,8
open,7
sweet,7
available,7
trade,7
many,7
market,7
dog,7
deliver,7
club,7
direct,7
coffee,7
line,7
cold,7
sure,7
take,7
life,7
free,7
equipment,7
special,7
home,7
slow,7
green,7
great,7
tour,6
house,6
budget,6
central,6
news,6
danger,6
first,6
force,6
incident,6
bill,6
street,6
big,6
port,6
could,6
garden,6
hunger,6
center,6
clean,6
mail,6
menu,6
dry,6
make,6
beach,6
care,6
chicken,6
also,6
insurance,6
civil,6
case,6
response,6
control,6
little,5
get,5
country,5
party,5
army,5
paper,5
land,5
drop,5
pass,5
gray,5
ocean,5
wood,5
mark,5
know,5
well,5
network,5
health,5
high,5
natural,5
far,5
mass,5
family,5
mission,5
district,5
per,5
produce,5
book,5
concrete,5
community,5
sound,5
public,5
stone,5
run,5
bed,5
rear,5
cake,5
soon,5
bread,5
private,5
classic,5
rent,5
bell,5
repair,5
respect,5
sand,5
show,5
spring,4
bar,4
time,4
hill,4
maintenance,4
management,4
research,4
ear,4
allow,4
safety,4
roof,4
branch,4
earth,4
chip,4
target,4
easy,4
scan,4
even,4
tea,4
snow,4
soft,4
side,4
less,4
shop,4
ad,4
liquid,4
end,4
honor,4
want,4
aid,4
business,4
save,4
alcohol,4
look,4
loss,4
love,4
box,4
distance,4
play,4
unite,4
put,4
gold,4
oil,4
old,4
bit,4
gate,4
crew,4
part,4
pride,4
try,4
count,4
furniture,4
fun,4
cost,4
trust,4
plus,4
transportation,4
please,4
word,4
every,4
command,4
collection,4
dead,4
file,4
blow,4
museum,4
bomb,4
hard,4
coast,4
coal,4
fish,4
week,3
window,3
iron,3
someone,3
fuel,3
gun,3
stage,3
island,3
sport,3
wing,3
sun,3
straight,3
soul,3
grab,3
worth,3
system,3
give,3
global,3
stand,3
work,3
station,3
stay,3
smart,3
mad,3
lake,3
region,3
valley,3
really,3
range,3
town,3
next,3
night,3
university,3
offer,3
pure,3
pump,3
online,3
option,3
orange,3
order,3
proud,3
original,3
package,3
frequent,3
turn,3
traffic,3
pool,3
pick,3
place,3
via,3
must,3
large,3
mouse,3
law,3
leader,3
learn,3
left,3
library,3
series,3
temperature,3
live,3
wait,3
location,3
machine,3
train,3
village,3
major,3
row,3
view,3
ride,3
rice,3
meat,3
together,3
metal,3
miss,3
money,3
organic,3
zone,3
education,3
cross,3
arm,3
art,3
color,3
fine,3
bad,3
festival,3
fail,3
feed,3
cow,3
die,3
employment,3
build,3
environmental,3
bath,3
brand,3
farm,3
fast,3
contact,3
event,3
fat,3
foundation,3
eastern,3
change,3
early,3
class,3
extra,3
driver,3
chocolate,2
process,2
price,2
choice,2
regular,2
roll,2
rest,2
press,2
connect,2
room,2
connection,2
round,2
restaurant,2
program,2
production,2
release,2
clear,2
protect,2
prove,2
completely,2
pull,2
race,2
resource,2
rank,2
contain,2
comfortable,2
coach,2
