text,count
police,198
service,85
emergency,39
new,27
fire,22
van,21
ice,20
bus,18
express,18
mobile,16
electric,16
rescue,15
way,15
rent,14
stop,14
community,13
school,13
news,13
cream,12
unit,12
free,12
man,12
support,11
civil,11
food,11
one,11
medical,11
hire,10
traffic,10
car,10
center,10
vehicle,9
access,9
response,9
first,9
delivery,9
call,9
post,9
day,8
respect,8
truck,8
bill,8
dog,8
south,8
ad,8
security,8
air,8
tell,8
west,8
national,8
since,8
also,8
city,8
taxi,8
may,7
use,7
direct,7
sale,7
clean,7
box,7
maintenance,7
transport,7
team,7
machine,7
home,7
western,7
book,7
industrial,7
water,6
storage,6
world,6
slow,6
northern,6
road,6
power,6
company,6
play,6
love,6
good,6
state,6
shop,6
phone,6
control,6
trust,5
right,5
money,5
modern,5
transportation,5
online,5
please,5
live,5
go,5
local,5
county,5
drive,5
cross,5
market,5
star,5
top,5
public,5
station,5
get,5
group,5
incident,5
international,5
soft,5
bar,5
take,5
house,5
care,4
federal,4
via,4
could,4
dry,4
health,4
blow,4
crime,4
war,4
area,4
business,4
low,4
visual,4
oil,4
would,4
green,4
section,4
dish,4
design,4
open,4
mail,4
people,4
quality,4
bread,4
travel,4
command,4
give,4
child,4
technology,4
network,4
commercial,4
keep,4
peace,4
club,4
street,4
radio,4
kitchen,4
furniture,4
hour,4
show,3
hotel,3
supply,3
district,3
equipment,3
hi,3
lot,3
global,3
look,3
farm,3
little,3
student,3
special,3
fast,3
line,3
southern,3
east,3
hand,3
god,3
life,3
driver,3
sure,3
library,3
link,3
king,3
force,3
magic,3
coffee,3
classic,3
ride,3
cheese,3
die,3
central,3
night,3
north,3
village,3
office,3
officer,3
operation,3
want,3
blue,3
operator,3
watch,3
black,3
web,3
bed,3
park,3
patient,3
back,3
win,3
art,3
point,3
work,3
put,3
press,3
price,3
action,3
coal,3
traditional,3
sand,3
mark,3
mind,3
construction,3
safety,3
moon,3
town,3
royal,3
tour,3
daily,3
cost,3
cold,3
make,3
department,3
port,2
hot,2
idea,2
meat,2
paint,2
pale,2
long,2
humor,2
say,2
region,2
master,2
pro,2
red,2
march,2
hair,2
pride,2
perfect,2
management,2
ill,2
real,2
hill,2
photo,2
pick,2
scientific,2
help,2
staff,2
sport,2
legal,2
save,2
must,2
lesson,2
much,2
key,2
murder,2
name,2
mystery,2
side,2
orange,2
less,2
shot,2
land,2
music,2
large,2
last,2
need,2
join,2
sleep,2
island,2
motor,2
serve,2
slide,2
revenue,2
rest,2
miss,2
old,2
smile,2
milk,2
son,2
mile,2
improve,2
shift,2
never,2
protect,2
guarantee,2
dead,2
deliver,2
wait,2
break,2
wall,2
border,2
waste,2
blind,2
disaster,2
big,2
today,2
door,2
bell,2
whatever,2
bank,2
think,2
wheel,2
thin,2
white,2
balance,2
wife,2
entry,2
telephone,2
even,2
wild,2
baby,2
touch,2
danger,2
every,2
stay,2
chip,2
union,2
clothing,2
charity,2
coast,2
turn,2
come,2
try,2
change,2
cash,2
trip,2
carpet,2
connect,2
capital,2
contest,2
contract,2
train,2
cool,2
core,2
corporate,2
count,2
counter,2
country,2
cow,2
camera,2
event,2
enterprise,2
everything,2
aid,2
wonder,2
army,2
follow,2
fool,2
proud,2
forward,2
foundation,2
