text,count
state,51
new,50
south,35
may,22
university,8
prior,6
year,5
group,5
design,5
police,5
truck,5
star,5
center,5
motor,5
special,4
see,4
discover,4
trust,4
empire,4
spirit,4
big,4
grand,4
beautiful,4
hi,4
window,4
garden,3
north,3
mission,3
control,3
national,3
low,3
lake,3
life,3
fuel,3
park,3
sound,3
snow,3
god,3
team,3
selection,3
month,3
would,3
west,3
wild,3
vehicle,3
back,3
golden,2
beach,2
protect,2
great,2
good,2
go,2
home,2
get,2
red,2
rent,2
representation,2
road,2
first,2
federal,2
save,2
hold,2
people,2
per,2
official,2
many,2
make,2
without,2
ask,2
win,2
live,2
ocean,2
line,2
series,2
like,2
one,2
page,2
last,2
land,2
keep,2
pay,2
say,2
club,2
box,2
shut,2
use,2
boss,2
car,2
sure,2
smart,2
county,2
ear,2
bridge,2
east,2
construction,2
clean,2
silver,2
veteran,2
oil,1
toy,1
spot,1
peace,1
square,1
worth,1
past,1
wide,1
mother,1
start,1
upper,1
still,1
story,1
support,1
natural,1
native,1
work,1
town,1
survive,1
universal,1
system,1
mountain,1
time,1
much,1
word,1
number,1
tax,1
news,1
taxi,1
permanent,1
morning,1
valley,1
trail,1
revolution,1
wall,1
ride,1
river,1
root,1
round,1
run,1
show,1
sad,1
safety,1
satisfaction,1
shore,1
ship,1
sea,1
seal,1
research,1
rail,1
permit,1
sit,1
plus,1
via,1
possess,1
pot,1
press,1
well,1
pro,1
soon,1
way,1
radio,1
son,1
water,1
van,1
want,1
slow,1
wander,1
act,1
moon,1
daughter,1
come,1
commercial,1
completely,1
concentration,1
constantly,1
contest,1
could,1
credit,1
cross,1
cut,1
data,1
date,1
day,1
economy,1
dead,1
deal,1
dealer,1
dear,1
delight,1
department,1
difference,1
dirty,1
division,1
doctor,1
dog,1
drive,1
color,1
collection,1
coast,1
city,1
advocate,1
air,1
alive,1
also,1
animal,1
army,1
association,1
bad,1
bath,1
beat,1
beer,1
bell,1
bet,1
bill,1
bin,1
bit,1
blind,1
body,1
bond,1
boot,1
bread,1
camp,1
care,1
chapter,1
choose,1
earth,1
educate,1
mass,1
less,1
high,1
historic,1
historical,1
hit,1
hot,1
house,1
hunt,1
ill,1
intense,1
international,1
island,1
lay,1
ad,1
electric,1
listen,1
little,1
long,1
look,1
lot,1
love,1
luck,1
lucky,1
machine,1
magic,1
manufacturer,1
map,1
hell,1
heart,1
hang,1
guy,1
engine,1
environment,1
estate,1
experience,1
explore,1
family,1
famous,1
fan,1
feel,1
festival,1
fight,1
flight,1
follow,1
foreign,1
form,1
foundation,1
free,1
fund,1
future,1
gas,1
gate,1
general,1
generation,1
green,1
guide,1
let,1
