text,count
water,32
mode,20
resist,20
date,19
go,17
light,16
per,14
alarm,12
shock,10
citizen,10
sun,9
protection,8
adjust,8
stop,7
start,7
many,7
hour,6
tough,6
also,6
wave,5
work,5
hi,4
new,4
ad,4
select,4
steel,4
since,4
menu,4
time,4
data,4
day,4
wed,4
man,4
lot,3
meter,3
drive,3
official,3
oil,3
less,3
last,3
low,3
edition,3
seal,3
king,3
set,3
would,3
world,3
use,3
take,3
step,3
soon,3
see,3
sea,3
run,3
role,3
care,3
case,3
master,3
ice,2
good,2
get,2
gear,2
release,2
march,2
may,2
watch,2
want,2
unit,2
sport,2
show,2
say,2
fit,2
rate,2
power,2
pattern,2
part,2
need,2
movement,2
might,2
mention,2
frame,2
act,2
basis,2
bin,2
bus,2
clock,2
arm,2
cup,2
boom,2
control,2
air,2
ago,2
add,2
away,2
screen,1
schedule,1
camera,1
call,1
search,1
section,1
buy,1
fill,1
sell,1
send,1
save,1
server,1
box,1
book,1
black,1
slow,1
cap,1
roll,1
car,1
city,1
pour,1
coach,1
price,1
pro,1
club,1
prove,1
radio,1
recall,1
remind,1
royal,1
repeat,1
reserve,1
chocolate,1
rest,1
reverse,1
ring,1
card,1
son,1
soft,1
space,1
bit,1
available,1
band,1
true,1
turn,1
type,1
back,1
universe,1
user,1
wage,1
war,1
today,1
ask,1
area,1
way,1
wear,1
ally,1
weekly,1
white,1
wood,1
tonight,1
bank,1
sound,1
summer,1
source,1
plus,1
stand,1
big,1
beat,1
base,1
strip,1
sum,1
barrier,1
till,1
sure,1
sweet,1
switch,1
system,1
bar,1
tell,1
think,1
thus,1
port,1
photo,1
player,1
eat,1
hit,1
host,1
enter,1
engineer,1
ill,1
install,1
interaction,1
keep,1
energy,1
late,1
lock,1
law,1
lean,1
least,1
left,1
ear,1
let,1
life,1
distance,1
like,1
high,1
equation,1
heart,1
head,1
feed,1
flight,1
food,1
forward,1
fat,1
free,1
full,1
gas,1
fan,1
factory,1
exercise,1
god,1
golf,1
escape,1
grand,1
guess,1
guide,1
gun,1
hand,1
list,1
look,1
find,1
company,1
music,1
connect,1
news,1
next,1
nice,1
none,1
normal,1
note,1
ocean,1
communication,1
loss,1
open,1
original,1
ought,1
pace,1
common,1
column,1
color,1
personal,1
phone,1
cost,1
moon,1
model,1
count,1
display,1
disk,1
mail,1
dinner,1
digital,1
die,1
mark,1
market,1
device,1
design,1
decade,1
daily,1
metal,1
crazy,1
mile,1
military,1
minor,1
mix,1
mobile,1
yes,1
