text,count
line,15
guard,6
sea,5
welcome,4
coast,4
ship,4
world,4
park,3
may,3
star,3
first,3
blue,3
new,3
general,3
go,3
international,3
discovery,3
golden,3
safety,3
express,3
rescue,3
freedom,2
zone,2
harbor,2
hole,2
invest,2
keep,2
let,2
port,2
people,2
one,2
tall,2
spirit,2
ocean,2
club,2
army,2
boat,2
century,2
cat,2
cast,2
promise,1
room,1
respect,1
way,1
wealth,1
request,1
red,1
pump,1
protection,1
west,1
pride,1
water,1
press,1
powerful,1
white,1
please,1
pilot,1
woman,1
work,1
pay,1
pair,1
open,1
yet,1
royal,1
team,1
taxi,1
sand,1
thank,1
suppose,1
sun,1
strike,1
stranger,1
steel,1
tie,1
station,1
tour,1
transfer,1
stage,1
trust,1
old,1
space,1
turn,1
southern,1
via,1
victory,1
slow,1
sleep,1
volunteer,1
sky,1
sir,1
sight,1
wall,1
wash,1
service,1
watch,1
ad,1
official,1
double,1
copy,1
court,1
create,1
dead,1
democracy,1
district,1
dream,1
football,1
drink,1
dust,1
eat,1
enter,1
event,1
face,1
cook,1
connection,1
company,1
commercial,1
come,1
color,1
clear,1
classic,1
city,1
chemical,1
capital,1
call,1
cable,1
bus,1
bridge,1
always,1
aircraft,1
file,1
gas,1
north,1
mail,1
last,1
law,1
lift,1
like,1
listen,1
aid,1
main,1
gaze,1
man,1
march,1
mom,1
museum,1
need,1
network,1
lake,1
king,1
independence,1
imagination,1
house,1
hotel,1
hill,1
high,1
heart,1
hear,1
head,1
happy,1
guy,1
guest,1
grand,1
good,1
give,1
live,1
