text,count
wine,97
valley,60
beer,47
grand,43
red,41
estate,39
product,36
old,24
new,23
reserve,22
single,22
pale,22
black,22
produce,22
one,21
white,19
company,18
organic,17
bottle,17
work,16
special,16
since,14
south,14
van,13
original,13
alcohol,13
win,13
farm,13
good,12
port,12
family,12
state,12
drink,12
edition,12
river,11
look,11
would,11
big,10
may,10
great,10
island,10
county,10
man,10
know,10
dry,10
head,10
dark,10
coast,9
mark,9
box,9
net,9
sweet,9
land,9
tradition,9
table,9
style,9
volume,9
run,9
use,9
series,8
mountain,8
pour,8
house,8
classic,8
son,8
bin,7
still,7
real,7
lot,7
world,7
wild,7
way,7
long,7
dog,7
true,7
part,7
character,7
central,6
line,6
hand,6
spring,6
hi,6
trade,6
pure,6
via,6
balance,6
fine,6
sake,6
open,6
king,6
root,6
day,6
green,6
low,6
law,6
brand,6
hill,6
deep,5
many,5
gold,5
coffee,5
sound,5
collection,5
sand,5
say,5
content,5
proof,5
smooth,5
none,5
water,5
like,5
import,5
traditional,5
extra,5
perfect,5
keep,5
label,5
unique,5
taste,5
bus,5
bit,5
year,5
car,5
anyone,4
bell,4
selection,4
select,4
see,4
bill,4
stone,4
view,4
back,4
winter,4
wing,4
operate,4
bad,4
count,4
could,4
district,4
export,4
lake,4
cow,4
yellow,4
enjoy,4
hard,4
place,4
smoke,4
fresh,4
go,4
brown,4
light,4
journey,4
love,4
guy,4
last,4
book,4
till,4
per,4
allow,4
finish,3
quality,3
quietly,3
form,3
full,3
origin,3
different,3
medium,3
fat,3
page,3
divide,3
much,3
drive,3
mix,3
every,3
general,3
master,3
fruit,3
pop,3
rare,3
club,3
read,3
bar,3
release,3
let,3
late,3
blue,3
time,3
birth,3
bet,3
tour,3
beautiful,3
key,3
bath,3
ill,3
cat,3
ask,3
want,3
well,3
west,3
western,3
ancient,3
wind,3
without,3
word,3
age,3
ad,3
street,3
strong,3
complex,3
cold,3
sea,3
contain,3
control,3
cool,3
guilty,3
common,3
royal,3
counter,3
news,3
make,3
live,3
road,3
golden,3
certainly,3
straight,3
serve,3
method,2
mature,2
need,2
intense,2
moment,2
mail,2
necessarily,2
miss,2
little,2
natural,2
abstract,2
must,2
modern,2
log,2
lie,2
list,2
mount,2
morning,2
ability,2
roof,2
next,2
stand,2
tea,2
tale,2
sure,2
support,2
sun,2
strange,2
star,2
southern,2
nothing,2
soon,2
snow,2
smell,2
small,2
sky,2
silver,2
side,2
tell,2
temperature,2
terrible,2
thank,2
yet,2
wrong,2
wood,2
wish,2
urban,2
unable,2
type,2
truly,2
track,2
top,2
tone,2
today,2
tiny,2
tie,2
think,2
show,2
sex,2
service,2
private,2
pot,2
post,2
point,2
please,2
plain,2
performance,2
perfectly,2
percent,2
pay,2
park,2
pair,2
originally,2
orange,2
oil,2
number,2
pregnancy,2
process,2
sense,2
profile,2
send,2
search,2
save,2
round,2
initial,2
ring,2
ride,2
rich,2
rice,2
result,2
really,2
rat,2
provision,2
provide,2
proud,2
initiative,2
lover,2
first,2
clean,2
bind,2
due,2
dream,2
double,2
door,2
gently,2
genuine,2
get,2
castle,2
distinct,2
beat,2
government,2
deserve,2
communication,2
hall,2
happy,2
health,2
fun,2
free,2
help,2
city,2
cash,2
far,2
festival,2
carefully,2
celebration,2
find,2
fire,2
evil,2
evening,2
century,2
chance,2
bury,2
essential,2
cheese,2
chocolate,2
east,2
boundary,2
away,2
cause,2
cut,2
cream,2
another,2
independent,2
air,2
hope,2
idea,2
holiday,2
history,2
date,2
creature,2
agricultural,2
also,2
autumn,2
hide,2
access,2
chicken,1
space,1
chase,1
store,1
chemical,1
corner,1
chart,1
someone,1
soft,1
choice,1
church,1
circle,1
convince,1
stop,1
stock,1
course,1
chamber,1
rough,1
station,1
country,1
stomach,1
cost,1
corporate,1
champion,1
celebrate,1
stamp,1
square,1
convention,1
room,1
rush,1
court,1
spend,1
self,1
contest,1
class,1
seal,1
consume,1
shop,1
shoot,1
secret,1
shirt,1
shift,1
sheep,1
shall,1
consult,1
seed,1
complexity,1
compose,1
consistent,1
compute,1
concept,1
concern,1
short,1
commit,1
contact,1
closely,1
slowly,1
slight,1
connect,1
skin,1
ski,1
sit,1
sir,1
school,1
screen,1
sing,1
comfort,1
command,1
significantly,1
sigh,1
scope,1
comment,1
sick,1
individual,1
cast,1
wait,1
visit,1
available,1
variety,1
average,1
user,1
bag,1
ball,1
upper,1
upon,1
universe,1
base,1
union,1
uncle,1
battle,1
bear,1
twist,1
tune,1
beauty,1
truck,1
trigger,1
travel,1
association,1
wander,1
bed,1
artist,1
accuse,1
achievement,1
yard,1
across,1
action,1
actual,1
actually,1
agent,1
ago,1
within,1
ally,1
almost,1
window,1
alternative,1
among,1
anything,1
application,1
appreciate,1
appropriate,1
arm,1
article,1
become,1
behavior,1
strength,1
term,1
bridge,1
bright,1
technique,1
team,1
teacher,1
brother,1
tank,1
tall,1
buy,1
take,1
tail,1
cable,1
rock,1
system,1
call,1
camp,1
care,1
suggest,1
sugar,1
suddenly,1
case,1
tendency,1
breathe,1
bend,1
boy,1
trace,1
town,1
tower,1
tourist,1
besides,1
total,1
tongue,1
biological,1
together,1
blind,1
tip,1
blood,1
blow,1
body,1
boss,1
though,1
thing,1
thin,1
thick,1
therapy,1
theory,1
roll,1
rent,1
cover,1
govern,1
mood,1
month,1
fuel,1
moderate,1
model,1
mode,1
generate,1
mistake,1
genetic,1
minute,1
minor,1
mine,1
mile,1
might,1
gentleman,1
meal,1
mate,1
give,1
massive,1
mass,1
market,1
moon,1
moral,1
frighten,1
never,1
note,1
nose,1
north,1
food,1
night,1
nice,1
foot,1
force,1
foreign,1
forest,1
friendship,1
forget,1
necessary,1
forward,1
nature,1
found,1
national,1
name,1
foundation,1
frame,1
god,1
grain,1
flash,1
major,1
lack,1
hot,1
hotel,1
knock,1
kiss,1
ice,1
kind,1
kill,1
kid,1
ideal,1
important,1
job,1
issue,1
improve,1
international,1
interest,1
increasingly,1
instead,1
instance,1
inspire,1
inside,1
lady,1
home,1
historic,1
hell,1
main,1
greatly,1
grow,1
gun,1
half,1
loss,1
hardly,1
lock,1
healthy,1
hello,1
leap,1
limitation,1
high,1
life,1
highly,1
liberal,1
hint,1
lesson,1
less,1
left,1
flat,1
occasion,1
craft,1
prevent,1
describe,1
range,1
random,1
raise,1
radio,1
despite,1
put,1
develop,1
purchase,1
dig,1
directly,1
division,1
promotion,1
promise,1
project,1
producer,1
draw,1
problem,1
probably,1
privilege,1
primary,1
depth,1
rather,1
ratio,1
resolve,1
risk,1
right,1
create,1
rid,1
credit,1
reward,1
current,1
rest,1
respect,1
resolution,1
raw,1
request,1
rely,1
relax,1
regional,1
dead,1
reason,1
dear,1
definitely,1
depress,1
pride,1
present,1
offer,1
premise,1
existence,1
expect,1
pattern,1
path,1
past,1
passion,1
pass,1
experience,1
experimental,1
parallel,1
paper,1
expression,1
fact,1
fail,1
pack,1
figure,1
final,1
finally,1
opportunity,1
finger,1
firm,1
even,1
ethnic,1
perhaps,1
entirely,1
ear,1
preference,1
earth,1
pound,1
easily,1
eastern,1
end,1
poor,1
pool,1
poet,1
physical,1
plus,1
pleasure,1
environment,1
pleasant,1
play,1
plastic,1
especially,1
pitch,1
piece,1
young,1
