object,count
book,51
poster,47
man,39
clothing,24
woman,20
mobile phone,20
person,19
building,18
computer monitor,11
girl,9
whiteboard,8
car,8
bottle,7
human body,7
tin can,7
drink,6
boy,5
plant,5
suit,5
house,4
mammal,4
picture frame,4
convenience store,4
box,4
office supplies,3
sports uniform,3
microwave oven,3
toy,3
laptop,3
food,3
flowerpot,3
table,3
land vehicle,3
tablet computer,2
television,2
tool,2
musical instrument,2
van,2
watch,2
window,2
snack,2
auto part,2
dress,2
jacket,2
billboard,2
bookcase,2
houseplant,2
guitar,2
curtain,2
butterfly,2
banana,1
swimming pool,1
coffeemaker,1
coat,1
tableware,1
cassette deck,1
traffic sign,1
camera,1
bus,1
bronze sculpture,1
vegetable,1
vehicle,1
waste container,1
beer,1
countertop,1
skirt,1
dairy,1
pen,1
human hand,1
human hair,1
human arm,1
handbag,1
office building,1
glasses,1
oven,1
furniture,1
slow cooker,1
footwear,1
fish,1
ruler,1
sandwich,1
sculpture,1
shelf,1
shorts,1
juice,1
