object,count
mobile phone,35
poster,34
book,23
man,13
person,11
clothing,10
building,9
car,8
computer monitor,8
plant,6
tablet computer,6
television,6
woman,6
table,3
bottle,3
land vehicle,3
picture frame,3
human arm,2
office supplies,2
window,2
boy,2
jacket,2
shelf,2
house,2
fashion accessory,2
bus,2
whiteboard,2
watch,2
van,2
snack,1
skyscraper,1
waste container,1
sports uniform,1
syringe,1
salad,1
remote control,1
tower,1
plastic bag,1
wine,1
washing machine,1
airplane,1
office building,1
musical instrument,1
billboard,1
bookcase,1
candy,1
cat,1
chair,1
christmas tree,1
computer keyboard,1
convenience store,1
door,1
dress,1
drum,1
elephant,1
girl,1
glasses,1
helmet,1
human body,1
bicycle,1
laptop,1
motorcycle,1
lantern,1
