object,count
man,40
poster,30
clothing,22
building,18
book,17
person,16
woman,13
car,7
plant,5
land vehicle,5
truck,4
mammal,4
house,4
boat,4
bottle,4
door,3
bookcase,3
human face,3
shelf,3
human body,3
snack,3
van,2
balloon,2
camera,2
traffic sign,2
toy,2
tent,2
billboard,2
girl,2
guitar,2
mobile phone,2
picture frame,1
auto part,1
beer,1
office supplies,1
boy,1
sports uniform,1
suit,1
musical instrument,1
table,1
animal,1
umbrella,1
vehicle,1
watercraft,1
whiteboard,1
suitcase,1
blender,1
muffin,1
mixer,1
box,1
bus,1
butterfly,1
coin,1
desk,1
doll,1
drink,1
flower,1
food,1
food processor,1
furniture,1
glasses,1
home appliance,1
ambulance,1
human head,1
jacket,1
luggage and bags,1
bronze sculpture,1
microphone,1
aircraft,1
