object,count
poster,111
book,51
building,21
man,16
clothing,13
person,13
woman,12
girl,9
truck,8
convenience store,7
whiteboard,6
car,5
plant,4
billboard,4
mammal,3
land vehicle,3
human face,3
human body,3
mobile phone,3
boy,3
shelf,2
window,2
balloon,2
coffee cup,2
stairs,2
treadmill,2
sunglasses,2
toilet paper,2
swim cap,2
mug,2
paper towel,2
street light,1
table,1
footwear,1
teddy bear,1
sports uniform,1
toy,1
beer,1
watercraft,1
tin can,1
rose,1
sculpture,1
curtain,1
bookcase,1
box,1
picture frame,1
office building,1
motorcycle,1
auto part,1
bus,1
canoe,1
laptop,1
coffee,1
computer monitor,1
house,1
animal,1
