object,count
man,784
clothing,701
person,464
poster,83
woman,69
human body,68
flag,68
helicopter,29
sports uniform,29
airplane,26
building,24
mammal,21
land vehicle,19
book,16
boat,16
girl,14
boy,14
car,13
jacket,12
human arm,11
plant,9
billboard,9
suit,8
shorts,8
helmet,8
parachute,7
vehicle,7
shirt,7
truck,5
horse,5
sports equipment,5
furniture,5
tank,4
human head,4
weapon,3
watercraft,2
van,2
wheel,2
traffic sign,2
shelf,2
tire,2
aircraft,2
human leg,2
convenience store,2
human hair,2
house,2
hat,2
football helmet,2
cake,2
umbrella,1
television,1
chair,1
cannon,1
train,1
bow and arrow,1
bus,1
christmas tree,1
vehicle registration plate,1
baked goods,1
auto part,1
ambulance,1
whiteboard,1
window,1
teddy bear,1
kitchen appliance,1
coat,1
door,1
drum,1
fashion accessory,1
scoreboard,1
scissors,1
rocket,1
rifle,1
flower,1
picture frame,1
handgun,1
office building,1
motorcycle,1
human face,1
laptop,1
couch,1
