object,count
poster,140
book,86
man,35
building,22
clothing,19
woman,13
person,11
laptop,9
billboard,9
girl,6
house,5
car,5
vehicle,5
plant,4
mobile phone,4
land vehicle,4
picture frame,3
office building,3
box,3
tablet computer,3
human body,3
bottle,3
drink,3
toy,2
bookcase,2
television,2
desk,2
table,2
window,2
truck,2
computer monitor,2
boat,2
whiteboard,1
sculpture,1
shelf,1
shorts,1
skyscraper,1
waste container,1
snack,1
van,1
refrigerator,1
tin can,1
rifle,1
musical instrument,1
beer,1
pillow,1
bus,1
chair,1
christmas tree,1
computer keyboard,1
couch,1
eagle,1
food,1
horse,1
human face,1
human hand,1
jacket,1
barrel,1
mammal,1
office supplies,1
bicycle,1
balloon,1
