object,count
book,44
poster,40
building,15
man,12
clothing,9
person,9
woman,5
table,4
dress,3
boat,3
office building,3
train,3
shelf,2
picture frame,2
toy,2
house,2
guitar,2
girl,2
auto part,2
car,2
computer monitor,2
bottle,2
flag,1
box,1
snack,1
sports uniform,1
suit,1
tablet computer,1
television,1
tower,1
bookcase,1
billboard,1
van,1
vehicle,1
window,1
wine,1
skyscraper,1
boy,1
fountain,1
plant,1
pillow,1
camera,1
mobile phone,1
mixing bowl,1
computer mouse,1
mammal,1
beer,1
convenience store,1
curtain,1
glove,1
door,1
furniture,1
land vehicle,1
