object,count
poster,133
building,69
book,26
house,20
billboard,12
man,11
computer monitor,10
mobile phone,10
person,8
woman,8
truck,7
clothing,6
car,5
laptop,5
bookcase,4
plant,4
shelf,3
television,3
table,3
door,3
handgun,2
auto part,2
skyscraper,2
bus,2
convenience store,2
bottle,2
tent,2
street light,2
ipod,2
human body,2
land vehicle,2
toy,1
watch,1
tin can,1
van,1
window,1
wine,1
tableware,1
train,1
vehicle,1
tablet computer,1
plastic bag,1
stairs,1
snack,1
sculpture,1
ring binder,1
motorcycle,1
box,1
mammal,1
bull,1
home appliance,1
harbor seal,1
girl,1
fashion accessory,1
desk,1
countertop,1
airplane,1
