object,count
poster,97
book,55
building,42
clothing,25
person,21
man,20
woman,14
house,9
girl,8
traffic sign,7
plant,6
bookcase,5
picture frame,5
car,5
human body,4
convenience store,3
land vehicle,3
mobile phone,3
box,3
shelf,3
vehicle,3
window,2
human face,2
wine,2
whiteboard,2
door,2
boat,2
television,2
refrigerator,2
watch,2
camera,2
cat,2
truck,2
tableware,1
sculpture,1
snack,1
vegetable,1
stairs,1
suit,1
taxi,1
training bench,1
sunglasses,1
train,1
toy,1
syringe,1
table,1
tablet computer,1
axe,1
plate,1
piano,1
bicycle,1
billboard,1
bottle,1
boy,1
bus,1
clock,1
computer monitor,1
corded phone,1
cosmetics,1
curtain,1
dog,1
dress,1
drink,1
envelope,1
flowerpot,1
furniture,1
houseplant,1
human hair,1
balloon,1
parking meter,1
personal care,1
mammal,1
