object,count
poster,220
book,98
man,64
person,59
clothing,56
mobile phone,53
building,40
woman,34
car,22
land vehicle,19
computer keyboard,14
television,14
camera,14
billboard,14
computer monitor,12
bottle,12
truck,12
auto part,11
girl,10
house,9
mammal,8
remote control,7
office supplies,7
human body,7
whiteboard,7
plant,7
tablet computer,6
tin can,6
table,6
drink,6
snack,6
treadmill,6
laptop,6
bookcase,6
door,6
picture frame,5
convenience store,5
shelf,5
wine,4
bus,4
traffic sign,4
toy,4
train,4
spice rack,4
mug,3
vehicle registration plate,3
coffee cup,3
suit,3
human arm,3
dog,3
boy,3
box,3
van,3
boat,3
drum,3
plastic bag,2
shirt,2
ambulance,2
ladder,2
food,2
bicycle,2
carnivore,2
cookie,2
juice,2
fashion accessory,2
furniture,2
rifle,2
umbrella,1
vegetable,1
spoon,1
vehicle,1
waste container,1
skyscraper,1
watch,1
stairs,1
tent,1
window,1
sunglasses,1
knife,1
scoreboard,1
frog,1
barrel,1
bench,1
bird,1
castle,1
corded phone,1
dairy,1
desk,1
digital clock,1
fax,1
fish,1
flag,1
flower,1
fountain,1
glove,1
plate,1
guitar,1
helmet,1
houseplant,1
human face,1
human hair,1
human hand,1
jacuzzi,1
marine mammal,1
medical equipment,1
microwave oven,1
oven,1
pen,1
pig,1
worm,1
