object,count
poster,20
man,15
woman,10
book,10
building,9
car,6
balloon,6
plastic bag,5
bus,5
clothing,5
land vehicle,5
food,4
plant,4
table,3
snack,3
handbag,3
auto part,3
human body,2
tent,2
billboard,2
mobile phone,2
luggage and bags,2
computer keyboard,2
bottle,2
truck,2
wheel,2
tire,1
boy,1
suitcase,1
street light,1
van,1
vehicle,1
sports equipment,1
bicycle wheel,1
wine,1
beer,1
envelope,1
piano,1
fashion accessory,1
office building,1
chair,1
mammal,1
jeans,1
human hand,1
convenience store,1
house,1
couch,1
glove,1
girl,1
fruit,1
drink,1
fast food,1
person,1
